learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,5.1583195613602584e-05,109.76732921600342
0.0006,0,2,5.1583195613602584e-05,32.25847947597504
0.0006,0,3,5.1583195613602584e-05,2.9299888610839844
0.0006,0,4,5.1583195613602584e-05,0.25324168242514133
0.0006,0,5,5.1583195613602584e-05,0.028415286564268172
0.0006,0,6,5.1583195613602584e-05,0.005283312639221549
0.0006,0,-1,5.1583195613602584e-05,3.3584715026790946e-05
0.0006,0.001,1,0.0005806191938972916,0.29359121806919575
0.0006,0.001,2,4.136547693178727e-05,0.012262129632290453
0.0006,0.001,3,4.446878881481098e-05,0.006098264246247709
0.0006,0.001,4,5.349510064434071e-05,0.002645602449774742
0.0006,0.001,5,5.253563460883015e-05,0.0009155366133200005
0.0006,0.001,6,5.788817816210212e-05,0.000489707486849511
0.0006,0.001,-1,5.261247599719354e-05,2.6337781207530497e-05
0.0006,0.003,1,0.0025030017513927305,0.016671119490638375
0.0006,0.003,2,4.937150970363291e-05,0.006089284492190927
0.0006,0.003,3,5.578033926667558e-05,0.0022846472857054323
0.0006,0.003,4,4.585815088375966e-05,0.0008774636080488563
0.0006,0.003,5,5.098407871173549e-05,0.00044651212738244794
0.0006,0.003,6,4.301055480482319e-05,0.00027071486874774564
0.0006,0.003,-1,5.434380091173807e-05,2.6251250289988093e-05
0.0006,0.01,1,0.002482984857124393,1.0666354470778572e-06
0.0006,0.01,2,3.7921489706604916e-05,0.001931217426317744
0.0006,0.01,3,7.897417526692152e-05,0.0012021634611301124
0.0006,0.01,4,5.14486449674223e-05,0.00026465142400411423
0.0006,0.01,5,5.191583727537363e-05,0.0003117229216513806
0.0006,0.01,6,4.425612570457815e-05,0.0001415421411365969
0.0006,0.01,-1,6.073820878782499e-05,3.0404871381506382e-05
0.0006,0.03,1,0.002483391994246631,1.724802785929569e-05
0.0006,0.03,2,3.4029885227937484e-05,0.0008631058335595299
0.0006,0.03,3,5.272244823117944e-05,0.0007130748272174969
0.0006,0.03,4,3.311965284069629e-05,0.0001425409745934303
0.0006,0.03,5,0.00016829250512273575,0.0002809809102473082
0.0006,0.03,6,5.345248678167991e-05,8.5286613284552e-05
0.0006,0.03,-1,3.7828250810889585e-05,2.2695284599194565e-05
0.0006,0.1,1,0.002483348835085053,7.095452447813955e-08
0.0006,0.1,2,4.6023812615203497e-05,0.0004983846301911399
0.0006,0.1,3,4.114427747481386e-05,9.663318132879795e-05
0.0006,0.1,4,3.4913251226953435e-05,6.643924598392914e-05
0.0006,0.1,5,3.4642746015833836e-05,3.061916152091726e-05
0.0006,0.1,6,2.8210898960878694e-05,3.427670037581265e-05
0.0006,0.1,-1,5.572871674530688e-05,3.491746124950623e-05
0.0006,0.2,1,0.002482921194314258,7.173411309402411e-08
0.0006,0.2,2,6.011909272274352e-05,0.00038660504469589796
0.0006,0.2,3,3.973182583649759e-05,6.120404668763513e-05
0.0006,0.2,4,3.742444289400737e-05,1.89841389897083e-05
0.0006,0.2,5,0.00011913445177924586,4.115318290587311e-05
0.0006,0.2,6,0.00011935180123145983,9.277645301608572e-05
0.0006,0.2,-1,2.796424723783275e-05,1.4814071647606397e-05
0.0006,0.3,1,0.002483674981704098,2.2114071196455143e-07
0.0006,0.3,2,0.00020724798901028407,0.00031149415553954896
0.0006,0.3,3,7.968600766616873e-05,5.857869882675004e-05
0.0006,0.3,4,3.5322029191320325e-05,2.0158159031780087e-05
0.0006,0.3,5,2.2689180980250967e-05,1.6849148835262895e-05
0.0006,0.3,6,3.180605301622563e-05,3.3604336522330414e-05
0.0006,0.3,-1,3.549565849425562e-05,2.1060749418211344e-05
0.0006,0.5,1,0.0024835784824972507,1.6713812112101323e-08
0.0006,0.5,2,8.528058685897122e-05,0.00021791522340208758
0.0006,0.5,3,2.1967362357599995e-05,2.687459038952511e-05
0.0006,0.5,4,4.956910299824813e-05,2.65303934838812e-05
0.0006,0.5,5,7.360536756095826e-05,2.157726237328461e-05
0.0006,0.5,6,2.502614097465994e-05,9.773603153462318e-06
0.0006,0.5,-1,2.637380544001644e-05,1.2586884651000219e-05
0.0006,1.0,1,0.0024832307080941973,9.36013037911021e-10
0.0006,1.0,2,8.660761966439168e-05,0.00011980412500633975
0.0006,1.0,3,1.9424947254265135e-05,2.2008324776834343e-05
0.0006,1.0,4,0.00012887645198134123,2.5436815121793188e-05
0.0006,1.0,5,2.5070290803341777e-05,6.260835455407232e-06
0.0006,1.0,6,4.2870968627539696e-05,1.2799381451600311e-05
0.0006,1.0,-1,2.3832547810798133e-05,8.951483685848416e-06
0.0006,2.0,1,0.0024831589398672804,2.4343162374762528e-08
0.0006,2.0,2,6.746185385964054e-05,9.222461176250363e-05
0.0006,2.0,3,8.464529787488573e-05,1.3573552621437557e-05
0.0006,2.0,4,3.9924480915942695e-05,5.272613570639351e-06
0.0006,2.0,5,2.3807255502106273e-05,4.149190061752961e-06
0.0006,2.0,6,2.3568861536205077e-05,7.6965162421061e-06
0.0006,2.0,-1,5.950548165856162e-05,1.325154288167596e-05
0.0006,3.0,1,0.0024837017208483303,7.087962039520335e-07
0.0006,3.0,2,4.828145279134333e-05,6.54883826882724e-05
0.0006,3.0,3,2.973318180465867e-05,2.419898953576194e-05
0.0006,3.0,4,2.856325056654896e-05,2.484625632348525e-06
0.0006,3.0,5,5.727401651256514e-05,2.486518273059346e-06
0.0006,3.0,6,5.056478983078705e-05,5.791294398704849e-06
0.0006,3.0,-1,5.551527999614336e-05,1.554996597974423e-05
0.0006,5.0,1,0.0024835407220962225,4.796832375753013e-08
0.0006,5.0,2,0.00012047051200170245,6.834304303993122e-05
0.0006,5.0,3,6.134683781056083e-05,7.203625841611938e-06
0.0006,5.0,4,4.396725285005232e-05,2.2832399793060176e-06
0.0006,5.0,5,5.325942640865833e-05,1.279774409113088e-06
0.0006,5.0,6,6.344544863168267e-05,6.295978664638824e-06
0.0006,5.0,-1,4.476550026311088e-05,5.651358048197608e-06
0.0006,10.0,1,0.002483714350091759,2.970180315031712e-07
0.0006,10.0,2,0.0001073672196980624,8.323018073497224e-05
0.0006,10.0,3,3.3611616572670755e-05,2.2924473057628347e-06
0.0006,10.0,4,6.660789426859992e-05,1.0442780880026703e-06
0.0006,10.0,5,4.370745233472917e-05,1.1355953821734488e-06
0.0006,10.0,6,2.9908542273915373e-05,2.4801374394201048e-06
0.0006,10.0,-1,7.04742139987502e-05,6.429703333310499e-06
0.0006,100.0,1,0.002483259126165649,1.9364089443030252e-07
0.0006,100.0,2,0.002487005998773384,3.412158366700169e-05
0.0006,100.0,3,0.00027142843259753135,1.1876588459358572e-06
0.0006,100.0,4,0.0001910932583086833,2.1839670127921096e-07
0.0006,100.0,5,0.0001830399949085404,2.2209940664374983e-07
0.0006,100.0,6,8.55424812016281e-05,7.716973411397987e-07
0.0006,100.0,-1,0.0005197324335313169,1.4499757484687237e-06
0.0006,0.0,,5.1583195613602584e-05,0.0
