learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0003,0,1,4.3802166430850775e-05,113.67224597930908
0.0003,0,2,4.3802166430850775e-05,31.62002456188202
0.0003,0,3,4.3802166430850775e-05,5.358096271753311
0.0003,0,4,4.3802166430850775e-05,0.7358950488269329
0.0003,0,5,4.3802166430850775e-05,0.18043857719749212
0.0003,0,6,4.3802166430850775e-05,0.014096353203058243
0.0003,0,-1,4.3802166430850775e-05,2.1716753479950057e-05
0.0003,0.001,1,0.00020431037842172373,0.5987786501646042
0.0003,0.001,2,6.107113790676522e-05,0.01676991826388985
0.0003,0.001,3,4.7222430453075503e-05,0.006827158038504422
0.0003,0.001,4,4.881445880755564e-05,0.0026092541229445487
0.0003,0.001,5,4.717272929610772e-05,0.0015157744055613875
0.0003,0.001,6,3.992575858546843e-05,0.000529820335941622
0.0003,0.001,-1,3.6293499192652234e-05,2.36328221774329e-05
0.0003,0.003,1,0.0004706007198365114,0.2053321423009038
0.0003,0.003,2,3.80668805064488e-05,0.0064531574316788465
0.0003,0.003,3,4.3445980509204674e-05,0.006770078209228814
0.0003,0.003,4,6.342963945371594e-05,0.00273691704205703
0.0003,0.003,5,5.068922337159165e-05,0.0005970464590063784
0.0003,0.003,6,4.745124596183814e-05,0.00036332031322672265
0.0003,0.003,-1,4.597485707336091e-05,1.8854857273709058e-05
0.0003,0.01,1,0.0009621165131648013,0.041935495333746076
0.0003,0.01,2,4.0270426325150765e-05,0.002569667383795604
0.0003,0.01,3,6.854066589312424e-05,0.001386332543916069
0.0003,0.01,4,0.00021501535275092465,0.0015517157517024316
0.0003,0.01,5,5.6641735568518925e-05,0.00023548318222310627
0.0003,0.01,6,4.4717679827499524e-05,0.00013470340991261764
0.0003,0.01,-1,0.00014416548833651177,5.54237287531123e-05
0.0003,0.03,1,0.0025688953573990148,6.482805778862399e-07
0.0003,0.03,2,4.968410883066099e-05,0.0010080691063194536
0.0003,0.03,3,4.5918863861516e-05,0.00045876319927629083
