learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,0.00010754332572560088,207.35996913909912
0.0006,0,2,0.00010754332572560088,47.75672221183777
0.0006,0,3,0.00010754332572560088,1.8031697198748589
0.0006,0,4,0.00010754332572560088,0.09855269361287355
0.0006,0,-1,0.00010754332572560088,4.1103132659259245e-05
0.0006,0.001,1,0.0034886092894339527,0.0001526551386632491
0.0006,0.001,2,9.459206705741963e-05,0.024213923956267536
0.0006,0.001,3,7.744772449314041e-05,0.007031411892967299
0.0006,0.001,4,5.845802246540188e-05,0.0016530109714949504
0.0006,0.001,-1,6.709946660521382e-05,3.840737304017239e-05
0.0006,0.003,1,0.0034975345656675927,5.28654663156658e-07
0.0006,0.003,2,5.821747856771253e-05,0.005736485443776473
0.0006,0.003,3,6.54226108167677e-05,0.0017018662692862563
0.0006,0.003,4,6.298324115050491e-05,0.0009299507582909428
0.0006,0.003,-1,0.00023822974571885425,6.024657761827257e-05
0.0006,0.01,1,0.0034994053535228886,1.4215711274800924e-08
0.0006,0.01,2,4.5135663413020666e-05,0.0027970052615273744
0.0006,0.01,3,9.114012445365915e-05,0.0011060744727728888
0.0006,0.01,4,0.00010235382944756566,0.00045873103681515204
0.0006,0.01,-1,6.529614950068208e-05,3.4141472667670314e-05
0.0006,0.03,1,0.0034980963132511533,8.478300799197314e-07
0.0006,0.03,2,3.998173775698888e-05,0.0011389485953259282
0.0006,0.03,3,9.205445439874893e-05,0.00043609977365122177
0.0006,0.03,4,4.288380279149351e-05,0.00017900256602843
0.0006,0.03,-1,7.596302918955189e-05,3.811687427912602e-05
0.0006,0.1,1,0.0034967675883308402,4.7849670536948e-07
0.0006,0.1,2,3.272714994295711e-05,0.0008481183540425263
0.0006,0.1,3,3.213725065620565e-05,9.038725465870812e-05
0.0006,0.1,4,7.02939762504684e-05,0.00013617351316952409
0.0006,0.1,-1,0.00016742503134992148,4.8816097205417464e-05
0.0006,0.2,1,0.0034972089142684126,9.049381723968963e-07
0.0006,0.2,2,2.88576538309826e-05,0.0005325688125594752
0.0006,0.2,3,6.565127409885463e-05,6.525447747662838e-05
0.0006,0.2,4,5.412075546473716e-05,7.259281142069085e-05
0.0006,0.2,-1,6.478303237145155e-05,1.903860827923154e-05
0.0006,0.3,1,0.0034981377798430913,5.252130907962282e-07
0.0006,0.3,2,6.455995344367693e-05,0.0005375502150855027
0.0006,0.3,3,5.001514932700957e-05,5.608948640656308e-05
0.0006,0.3,4,4.4435679569687636e-05,6.60507757288542e-05
0.0006,0.3,-1,5.1598435419464295e-05,1.8707295780018285e-05
0.0006,0.5,1,0.003497717678328627,4.249914073994887e-07
0.0006,0.5,2,4.649823131330777e-05,0.0003717561667144764
0.0006,0.5,3,4.9448017080067075e-05,2.654218985753687e-05
0.0006,0.5,4,5.314560849001282e-05,2.9141359107143217e-05
0.0006,0.5,-1,5.718854720271338e-05,1.848546017413355e-05
0.0006,1.0,1,0.0034985240868081746,3.35545569996043e-07
0.0006,1.0,2,4.314482526979191e-05,0.00026323717156628845
0.0006,1.0,3,9.31874005800637e-05,2.835163456893497e-05
0.0006,1.0,4,6.506006798190356e-05,2.990034573713274e-05
0.0006,1.0,-1,5.060820615199191e-05,1.5201202103298783e-05
0.0006,2.0,1,0.0034976153438037727,1.4971431383514755e-06
0.0006,2.0,2,7.202997369404329e-05,0.00035596152883954346
0.0006,2.0,3,0.000181939459480418,2.687523604549824e-05
0.0006,2.0,4,9.710696258480311e-05,1.2770159628416877e-05
0.0006,2.0,-1,5.054998956666168e-05,1.3778162468724986e-05
0.0006,3.0,1,0.0034854476634791354,1.0850605498546884e-06
0.0006,3.0,2,9.614077720243586e-05,0.0002570616234152112
0.0006,3.0,3,0.0001351656942460977,9.843490836658475e-06
0.0006,3.0,4,8.486428100695775e-05,1.619433324151487e-05
0.0006,3.0,-1,3.910583643573773e-05,1.3499305723030375e-05
0.0006,5.0,1,0.0034986573723472247,9.581493394250629e-07
0.0006,5.0,2,0.0001307219204136345,0.00041026060171134304
0.0006,5.0,3,0.00015621682132405112,5.539974788248969e-06
0.0006,5.0,4,7.643783715138852e-05,7.938715103961158e-06
0.0006,5.0,-1,9.313469058724877e-05,2.5982246825151378e-05
0.0006,10.0,1,0.003498791539186641,8.676418730146906e-07
0.0006,10.0,2,0.00017349988797832339,0.00019682319270941662
0.0006,10.0,3,0.00012262499330972787,3.96404481861623e-06
0.0006,10.0,4,0.00018581384711069404,1.051600630574967e-05
0.0006,10.0,-1,0.00016096555395961332,2.2499655827346032e-05
0.0006,100.0,1,0.0034980609912054206,3.1449698134622395e-07
0.0006,100.0,2,0.0005108072664370411,0.0001306831054534996
0.0006,100.0,3,0.000555527647065901,3.2838361163634033e-07
0.0006,100.0,4,0.0005414362303781672,1.4094719431589908e-06
0.0006,100.0,-1,0.0007689472895435756,2.0831031499191077e-06
0.0006,0.0,,0.00010754332572560088,0.0
