learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,9.746181842729129e-05,0.16342588141560555
0.0006,0,2,9.746181842729129e-05,0.05158941983245313
0.0006,0,3,9.746181842729129e-05,0.0011475571081973612
0.0006,0,4,9.746181842729129e-05,0.0001776255085133016
0.0006,0,-1,9.746181842729129e-05,7.452684212694294e-05
0.0006,0.001,1,9.32060086142883e-05,3.396150225398742e-05
0.0006,0.001,2,6.603019448903069e-05,2.5733754505097295e-07
0.0006,0.001,3,9.410708696577785e-05,1.7419737373056132e-08
0.0006,0.001,4,6.5274126541226e-05,2.6220872847981802e-08
0.0006,0.001,-1,0.00016232268490057322,5.706589629994596e-05
0.0006,0.003,1,5.824526579090161e-05,4.360953425930347e-05
0.0006,0.003,2,0.00014586715280984208,2.6342681191948714e-07
0.0006,0.003,3,6.714111691508151e-05,4.733925133837413e-09
0.0006,0.003,4,4.614442332240287e-05,9.74523138921879e-09
0.0006,0.003,-1,6.483916570232395e-05,3.988270862009813e-05
0.0006,0.01,1,7.804925110121985e-05,4.2131611280638026e-05
0.0006,0.01,2,6.895903743497911e-05,3.131211858686811e-07
0.0006,0.01,3,5.890027705390821e-05,4.739559965197607e-10
0.0006,0.01,4,5.3713170245828223e-05,2.3482203412653058e-09
0.0006,0.01,-1,7.124109652068e-05,4.848284425662541e-05
0.0006,0.03,1,7.322428587031027e-05,4.05604109801061e-05
0.0006,0.03,2,6.230920314465038e-05,1.513162191102424e-07
0.0006,0.03,3,0.00012527958176633547,2.5050759657288015e-11
0.0006,0.03,4,5.538081211398094e-05,6.288171719437408e-10
0.0006,0.03,-1,5.940894959621801e-05,3.224551048219837e-05
0.0006,0.1,1,0.0001745988267884968,2.0379905777190288e-05
0.0006,0.1,2,8.837864481847646e-05,3.5441802559432745e-07
0.0006,0.1,3,7.435374902797776e-05,9.743682606361184e-12
0.0006,0.1,4,7.619487882948306e-05,3.9692420877868173e-10
0.0006,0.1,-1,4.414926036133693e-05,2.2232798471577553e-05
0.0006,0.2,1,6.108618094913254e-05,1.5930095401017752e-05
0.0006,0.2,2,5.8483733710090746e-05,3.777201929011653e-07
0.0006,0.2,3,5.296951133004768e-05,6.983453068208287e-11
0.0006,0.2,4,0.00010751306842848862,9.224274946303956e-11
0.0006,0.2,-1,4.109304273924863e-05,1.761291621704686e-05
0.0006,0.3,1,6.678765168999234e-05,1.3618166008200205e-05
0.0006,0.3,2,5.254428879197803e-05,1.8082079744630164e-07
0.0006,0.3,3,5.506379852704413e-05,1.6872501578399715e-11
0.0006,0.3,4,6.266216087169596e-05,1.4952621584483905e-10
0.0006,0.3,-1,2.6207493533547677e-05,1.1316750999412761e-05
0.0006,0.5,1,6.771050641418697e-05,2.1005710777899367e-05
0.0006,0.5,2,5.391717161273846e-05,1.5649937967765482e-07
0.0006,0.5,3,6.474803558376152e-05,7.999958334670154e-11
0.0006,0.5,4,6.32822524266885e-05,4.066237030788712e-11
0.0006,0.5,-1,3.505138761283888e-05,1.118883551498584e-05
0.0006,1.0,1,6.762932321180415e-05,1.9249428078182973e-05
0.0006,1.0,2,5.2089619543949084e-05,2.0185359073110476e-07
0.0006,1.0,3,7.204600274235418e-05,4.319810611649877e-10
0.0006,1.0,4,6.546783504290943e-05,2.3983327888769945e-10
0.0006,1.0,-1,2.4349265174805623e-05,1.0993595708441717e-05
0.0006,2.0,1,8.233146786551515e-05,1.018598823065986e-05
0.0006,2.0,2,6.199388360528246e-05,1.0418495532960037e-07
0.0006,2.0,3,6.816192046699143e-05,1.0650333056878153e-10
0.0006,2.0,4,6.905618960217907e-05,4.54157538399419e-11
0.0006,2.0,-1,5.257143232029193e-05,1.6125452802384643e-05
0.0006,3.0,1,8.669880799061502e-05,1.3888281898744026e-05
0.0006,3.0,2,6.244128769594681e-05,1.3701761281126323e-07
0.0006,3.0,3,6.438282264298323e-05,1.0114601002456439e-10
0.0006,3.0,4,7.485967523734871e-05,7.828377811443243e-11
0.0006,3.0,-1,3.5269356317257916e-05,9.36857942335223e-06
0.0006,5.0,1,7.103354039372789e-05,9.144985767761682e-06
0.0006,5.0,2,6.218498407406514e-05,3.6006029824342534e-08
0.0006,5.0,3,5.380581592362432e-05,7.273897174690791e-11
0.0006,5.0,4,7.186866230313171e-05,4.948473639318149e-10
0.0006,5.0,-1,4.8531996299061575e-05,8.902013888700822e-06
0.0006,10.0,1,9.47163064211054e-05,8.012003348767394e-06
0.0006,10.0,2,5.362209640225046e-05,5.482091891551022e-08
0.0006,10.0,3,6.228447034573037e-05,2.7985223669403213e-11
0.0006,10.0,4,6.787999564039637e-05,4.068678275423541e-10
0.0006,10.0,-1,8.431467335867637e-05,1.1770182506865012e-05
0.0006,100.0,1,6.795477520427085e-05,1.2175097651834221e-05
0.0006,100.0,2,7.400232379950467e-05,7.010588720657296e-09
0.0006,100.0,3,5.393853621171729e-05,4.446219233717949e-11
0.0006,100.0,4,5.474886245337984e-05,4.6490562064676645e-11
0.0006,100.0,-1,0.0006104805256654799,2.0696578942533406e-06
0.0006,0.0,,9.746181842729129e-05,0.0
