learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,0.00017622348923396203,724.4664001464844
0.0001,0,2,0.00017622348923396203,292.93792724609375
0.0001,0,3,0.00017622348923396203,50.367595195770264
0.0001,0,4,0.00017622348923396203,6.07036679983139
0.0001,0,-1,0.00017622348923396203,6.127546305378928e-05
0.0001,0.001,1,0.0025315134716947796,0.25325631350278854
0.0001,0.001,2,0.0025431594986002892,0.00010869436755456263
0.0001,0.001,3,6.367972991938586e-05,0.017414882546290755
0.0001,0.001,4,0.0004548787180738145,0.025648687151260674
0.0001,0.001,-1,0.00012171428829788056,3.549063595187363e-05
0.0001,0.003,1,0.00254100356141862,0.06421464029699564
0.0001,0.003,2,0.0025419410321774194,2.74104606887704e-05
0.0001,0.003,3,0.00010829029861270101,0.007699898007558659
0.0001,0.003,4,0.00010650066451489693,0.003649061356554739
0.0001,0.003,-1,0.00016984845888146083,4.218211392981175e-05
0.0001,0.01,1,0.002541895129979821,0.044266169890761375
0.0001,0.01,2,0.0025421707368877833,8.662088748678798e-05
0.0001,0.01,3,0.00010719569127104478,0.00327474380901549
0.0001,0.01,4,9.944300177266996e-05,0.0015499779401579872
0.0001,0.01,-1,0.00012152265207987512,3.0423973669257975e-05
0.0001,0.03,1,0.0025418538598387386,0.04051485890522599
0.0001,0.03,2,0.0025421966156500275,0.00010577271132206079
0.0001,0.03,3,8.245385834015906e-05,0.0015135394787648693
0.0001,0.03,4,9.501152987922978e-05,0.0006111870407039532
0.0001,0.03,-1,0.00012162767234258354,3.608516033182241e-05
0.0001,0.1,1,0.0025419373114345944,0.03993279719725251
0.0001,0.1,2,0.002542039464970003,0.00013311167822394054
0.0001,0.1,3,0.0001047229593496013,0.0005558966477110516
0.0001,0.1,4,0.0003057885996895493,0.0007876927775214426
0.0001,0.1,-1,0.00010397560754427104,2.6172308594141214e-05
0.0001,0.2,1,0.002541828274843283,0.03988807578571141
0.0001,0.2,2,0.0025423922488698736,0.0002474359334883047
0.0001,0.2,3,0.00010968346919071337,0.00036891560739604756
0.0001,0.2,4,0.00041527898974891286,0.0004971331945853308
0.0001,0.2,-1,9.647782871979871e-05,2.4294215506870387e-05
0.0001,0.3,1,0.0025401618495379807,0.039891916792839766
0.0001,0.3,2,0.0025426358388358494,0.00014649947479483671
0.0001,0.3,3,0.00015001394922364852,0.00021689799814339494
0.0001,0.3,4,5.700894132587564e-05,0.00011619091264947201
0.0001,0.3,-1,8.756367674322973e-05,1.4751128304624217e-05
0.0001,0.5,1,0.0025438398497499293,0.0398672572337091
0.0001,0.5,2,0.0025422941653232556,0.0002789404497889336
0.0001,0.5,3,0.00021370850708990474,0.00020433522877283394
0.0001,0.5,4,9.191592562274309e-05,0.00014413559847525903
0.0001,0.5,-1,0.00011243517155890004,3.8975969061993965e-05
0.0001,1.0,1,0.0025413272978767054,0.03986687958240509
0.0001,1.0,2,0.002542278213695681,0.000119101562177093
0.0001,1.0,3,0.00022019612242729636,0.00014036529955774313
0.0001,1.0,4,6.953186993996496e-05,6.110838648965e-05
0.0001,1.0,-1,5.269218627290684e-05,7.816288373874158e-06
0.0001,2.0,1,0.0025414133142476203,0.03986472659744322
0.0001,2.0,2,0.0025422558792342898,0.0002351381599510205
0.0001,2.0,3,0.0003530577250785427,0.00011050349621655187
0.0001,2.0,4,0.00018461379841028247,6.879165039208601e-05
0.0001,2.0,-1,7.625914940945222e-05,1.1536689356717034e-05
0.0001,3.0,1,0.0025418287495995173,0.03986443462781608
0.0001,3.0,2,0.0025424310197195155,0.00018611034465720877
0.0001,3.0,3,0.0004431285751707037,7.264441205734329e-05
0.0001,3.0,4,0.00010967819571305881,3.6650368315349624e-05
0.0001,3.0,-1,9.475002775616304e-05,1.009837750132192e-05
0.0001,5.0,1,0.002542078133956238,0.03986461414024234
0.0001,5.0,2,0.002542605352573446,0.00025992756218329305
0.0001,5.0,3,0.0005213665490373387,1.8345974410749477e-05
0.0001,5.0,4,0.00022061382014726405,3.4837004477594746e-05
0.0001,5.0,-1,5.400336976890685e-05,9.314607851251822e-06
0.0001,10.0,1,0.002542120275393245,0.039864605059847236
0.0001,10.0,2,0.0025428182943869615,0.00022918168997421162
0.0001,10.0,3,0.000568441282666754,4.375080061436165e-05
0.0001,10.0,4,0.0002214282440036186,1.6884651358850533e-05
0.0001,10.0,-1,0.0003299673608125886,8.606006453248938e-06
0.0001,100.0,1,0.0025414075189473806,0.03986444394104183
0.0001,100.0,2,0.002543199947467656,0.00023430097371601732
0.0001,100.0,3,0.0025444594393775333,4.6176517116691684e-05
0.0001,100.0,4,0.0025432542206544895,9.854630533823183e-08
0.0001,100.0,-1,0.0013135103245076607,7.829402415282516e-06
0.0001,0.0,,0.00017622348923396203,0.0
