learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,0.0003891710098287149,0.5478491894900799
0.0006,0,2,0.0003891710098287149,0.058460008818656206
0.0006,0,3,0.0003891710098287149,0.00030026926287973765
0.0006,0,4,0.0003891710098287149,0.000163209610946069
0.0006,0,-1,0.0003891710098287149,0.0002464101917212247
0.0006,0.001,1,6.606267811548605e-05,6.837935825387831e-05
0.0006,0.001,2,0.00022937540961720515,8.044027168807588e-06
0.0006,0.001,3,0.00014125498614703247,1.137657326677477e-08
0.0006,0.001,4,0.0002930720838776324,6.923145456916302e-08
0.0006,0.001,-1,0.000123340830214147,4.368711330471342e-05
0.0006,0.003,1,0.00018676851414056728,5.3964949984219857e-05
0.0006,0.003,2,8.129353932417871e-05,4.999142344530583e-08
0.0006,0.003,3,6.362443559737585e-05,1.5269220198128874e-09
0.0006,0.003,4,0.0002899422261180007,2.3006173144324293e-07
0.0006,0.003,-1,0.00011283940443718166,6.967008607716707e-05
0.0006,0.01,1,0.000299890045880602,7.155628281907411e-05
0.0006,0.01,2,0.0002715177870413754,1.6807281951969344e-05
0.0006,0.01,3,7.341495199852943e-05,7.096490750591045e-08
0.0006,0.01,4,8.910859764910128e-05,2.8929725351400926e-09
0.0006,0.01,-1,0.0004028489879601693,0.00016434233066320303
0.0006,0.03,1,6.413610276467807e-05,3.543077809808892e-05
0.0006,0.03,2,0.00019799866504399688,3.001741011310344e-08
0.0006,0.03,3,0.00036619075217458885,5.41155181429942e-10
0.0006,0.03,4,0.00019457012717793987,6.055521140080344e-09
0.0006,0.03,-1,6.673788379885082e-05,4.663500590140757e-05
0.0006,0.1,1,0.00028023152890455094,2.3905726720840903e-05
0.0006,0.1,2,8.301040270453086e-05,7.997166136419764e-06
0.0006,0.1,3,0.0004317202383390395,7.669856850328616e-11
0.0006,0.1,4,7.575766608169943e-05,2.709449825957777e-10
0.0006,0.1,-1,7.181606110862049e-05,2.720869949257576e-05
0.0006,0.2,1,7.977213590493193e-05,2.0066303022758802e-05
0.0006,0.2,2,0.0001471639711780881,1.401566237291263e-06
0.0006,0.2,3,0.00016301213122460467,4.319386674722647e-09
0.0006,0.2,4,0.00017611101225156744,1.891668956893744e-10
0.0006,0.2,-1,0.00012074991718691308,2.4160004841178306e-05
0.0006,0.3,1,0.00013571540034718055,1.4204471881384961e-05
0.0006,0.3,2,0.00031431729985342827,1.7107381822256684e-06
0.0006,0.3,3,0.0003533923104441783,2.5565071379296533e-09
0.0006,0.3,4,9.710134077067778e-05,3.571343949737571e-10
0.0006,0.3,-1,0.0002587594062788412,0.0001630742585803091
0.0006,0.5,1,0.0002108431267515698,2.397397986442229e-05
0.0006,0.5,2,0.00028009151355945505,3.756487842565548e-06
0.0006,0.5,3,8.628908790342393e-05,6.361032718355669e-11
0.0006,0.5,4,9.928397969360958e-05,1.747874005253447e-09
0.0006,0.5,-1,8.455000977392046e-05,4.7386850269504066e-05
0.0006,1.0,1,7.512006345677946e-05,1.7669288411070738e-05
0.0006,1.0,2,0.0003269788089710346,1.3564957441758452e-06
0.0006,1.0,3,0.00030830030709694256,5.82228473766655e-09
0.0006,1.0,4,5.522424635273637e-05,4.394090195869449e-10
0.0006,1.0,-1,0.00012153319084973191,3.0557033198874706e-05
0.0006,2.0,1,7.993893041202682e-05,1.2750692917506967e-05
0.0006,2.0,2,0.00012666778115999477,5.702339844759763e-07
0.0006,2.0,3,6.871590858281706e-05,5.947654022932236e-11
0.0006,2.0,4,0.00023121625099520315,4.26473245607184e-09
0.0006,2.0,-1,0.00012684655735029082,4.2567571341578514e-05
0.0006,3.0,1,6.967213056441324e-05,2.6212267357550445e-05
0.0006,3.0,2,7.949343648760987e-05,4.1086173041549046e-06
0.0006,3.0,3,0.0002354843227294623,1.9249485495170804e-09
0.0006,3.0,4,0.000127611912375869,8.564855465478804e-11
0.0006,3.0,-1,8.952569578468683e-05,3.4308650953107644e-05
0.0006,5.0,1,0.0002577433915575966,1.556907494659754e-05
0.0006,5.0,2,0.0003970610468968516,4.4480762966259135e-06
0.0006,5.0,3,0.0002842307244463882,2.4295908285232315e-08
0.0006,5.0,4,0.0003207522249795147,3.1777209032538e-10
0.0006,5.0,-1,0.00011481438014016021,2.337351071446392e-05
0.0006,10.0,1,0.00022402650165531668,4.859290561398666e-05
0.0006,10.0,2,8.717244850231509e-05,6.279958353339055e-08
0.0006,10.0,3,0.00024345424890270806,2.8014036021484223e-09
0.0006,10.0,4,0.00011019944520285208,3.963718047360343e-11
0.0006,10.0,-1,0.000131157980831631,1.2501628319228075e-05
0.0006,100.0,1,0.0003236577781535743,2.7854611062139156e-05
0.0006,100.0,2,0.00017238963346244418,8.983013749519486e-09
0.0006,100.0,3,9.024324640449777e-05,1.0540062746200451e-10
0.0006,100.0,4,0.00019784323080784816,1.827324598059621e-10
0.0006,100.0,-1,0.0006984442206885433,2.3726408562296797e-06
0.0006,0.0,,0.0003891710098287149,0.0
