learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0003,0,1,4.5825245592823194e-05,230.8818531036377
0.0003,0,2,4.5825245592823194e-05,46.91724252700806
0.0003,0,3,4.5825245592823194e-05,2.130807690322399
0.0003,0,4,4.5825245592823194e-05,0.21985780727118254
0.0003,0,-1,4.5825245592823194e-05,3.191078008057957e-05
0.0003,0.001,1,0.0024897651601349935,0.13653830159455538
0.0003,0.001,2,4.9269596729573095e-05,0.01599443529266864
0.0003,0.001,3,4.106845960905048e-05,0.003945023432606831
0.0003,0.001,4,4.23482606493053e-05,0.0022838436780148186
0.0003,0.001,-1,4.5987124281055e-05,2.233936137940873e-05
0.0003,0.003,1,0.0025527690904709743,0.0024199751060223207
0.0003,0.003,2,7.032892654024181e-05,0.007003092090599239
0.0003,0.003,3,4.11191427929225e-05,0.0017652437018114142
0.0003,0.003,4,7.996200133675302e-05,0.0015700497606303543
0.0003,0.003,-1,5.242636132152256e-05,2.7228973962678538e-05
0.0003,0.01,1,0.002441730808641296,0.012465493753552437
0.0003,0.01,2,4.7392371584464854e-05,0.003048380633117631
0.0003,0.01,3,4.4606579251649237e-05,0.000768978068663273
0.0003,0.01,4,4.286466719349846e-05,0.00042881904300884344
0.0003,0.01,-1,4.703732759026025e-05,1.8657638165109347e-05
0.0003,0.03,1,0.002568885479377059,1.2084287481783917e-06
0.0003,0.03,2,4.347776223312394e-05,0.0017721127151162364
0.0003,0.03,3,4.441407600097591e-05,0.0003242460743422271
0.0003,0.03,4,5.200576924835332e-05,0.00025128542438324075
0.0003,0.03,-1,3.3754501487237576e-05,1.4596443087100397e-05
0.0003,0.1,1,0.0025685214222903596,8.653622147747342e-07
0.0003,0.1,2,6.124232970705634e-05,0.0010447424756421242
0.0003,0.1,3,4.506555148964253e-05,0.00015627573293386376
0.0003,0.1,4,3.2923487935931917e-05,8.58218108987785e-05
0.0003,0.1,-1,6.694161470477411e-05,3.0608560365408266e-05
0.0003,0.2,1,0.002568066507592448,7.730509396508545e-07
0.0003,0.2,2,4.984304291610897e-05,0.0007430286968883593
0.0003,0.2,3,3.829349378747793e-05,8.492276742799731e-05
0.0003,0.2,4,4.268201928425697e-05,5.162582408502203e-05
0.0003,0.2,-1,3.1215205012813385e-05,9.670671715866774e-06
0.0003,0.3,1,0.0025684214178909315,7.614285513213304e-07
0.0003,0.3,2,4.778503387115052e-05,0.0005591111221292522
0.0003,0.3,3,4.360614695997356e-05,6.597717083423049e-05
0.0003,0.3,4,2.4160025361652515e-05,3.5325862427271204e-05
0.0003,0.3,-1,3.2471148983859166e-05,1.2307810067113678e-05
0.0003,0.5,1,0.002569152044998191,7.397619328219918e-07
0.0003,0.5,2,6.428172923733655e-05,0.00045421965842251666
0.0003,0.5,3,4.1379555455023365e-05,6.362260342029913e-05
0.0003,0.5,4,0.00011038750130865083,0.0001813324272461614
0.0003,0.5,-1,3.0250514271301654e-05,6.127637732333824e-06
0.0003,1.0,1,0.0025689781014079927,7.35207980995245e-07
0.0003,1.0,2,5.9073259421893454e-05,0.00031602130002283957
0.0003,1.0,3,5.186063538076269e-05,3.899503735738108e-05
0.0003,1.0,4,9.012036275635182e-05,8.466513662597208e-05
0.0003,1.0,-1,2.938903071481036e-05,8.706563093596742e-06
0.0003,2.0,1,0.0025683626963655115,7.493699339944371e-07
0.0003,2.0,2,7.251952081333002e-05,0.00026164335304201813
0.0003,2.0,3,5.4670621238983585e-05,4.629983186532627e-05
0.0003,2.0,4,5.159368629392702e-05,2.3079564812178432e-05
0.0003,2.0,-1,5.707528407583595e-05,3.275411364001002e-05
0.0003,3.0,1,0.002568589209658967,7.583114587372819e-07
0.0003,3.0,2,9.085299370781286e-05,0.0002483375537849497
0.0003,3.0,3,0.00010911199387919623,2.4143674409060623e-05
0.0003,3.0,4,6.771406333427876e-05,3.4477055720572025e-05
0.0003,3.0,-1,3.480797124666424e-05,1.0706347191913324e-05
0.0003,5.0,1,0.0025687744928291067,7.429163678684958e-07
0.0003,5.0,2,0.00014024521988176275,0.00021964058305457002
0.0003,5.0,3,0.00011324877914375975,2.1163782434996392e-05
0.0003,5.0,4,4.473470755783637e-05,9.30080572203451e-06
0.0003,5.0,-1,9.413451607542811e-05,1.1447387670671105e-05
0.0003,10.0,1,0.002568171028542565,7.456498294367009e-07
0.0003,10.0,2,0.00015059682823448384,0.00016948580923781265
0.0003,10.0,3,0.0001425900495632959,2.45115467123469e-05
0.0003,10.0,4,6.575224938387692e-05,9.530428094706167e-06
0.0003,10.0,-1,0.00015387231474051077,2.165765283024257e-05
0.0003,100.0,1,0.0025717438456922537,7.243474962198571e-07
0.0003,100.0,2,0.0005111321293043147,0.00015781640922796214
0.0003,100.0,3,0.0005306679227032873,3.3429028718501286e-06
0.0003,100.0,4,0.0005078209242128651,3.340327778822427e-07
0.0003,100.0,-1,0.0006717717960782466,8.250039705615109e-06
0.0003,0.0,,4.5825245592823194e-05,0.0
