learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,9.593350659997668e-05,104.50431203842163
0.0006,0,2,9.593350659997668e-05,36.15222632884979
0.0006,0,3,9.593350659997668e-05,3.3780612647533417
0.0006,0,4,9.593350659997668e-05,0.39882284961640835
0.0006,0,5,9.593350659997668e-05,0.025157018448226154
0.0006,0,6,9.593350659997668e-05,0.003619317983975634
0.0006,0,-1,9.593350659997668e-05,4.85410993746882e-05
0.0006,0.001,1,0.00024614031508463086,0.3184791412204504
0.0006,0.001,2,0.00022504664229927585,0.02301287616137415
0.0006,0.001,3,9.58465996063751e-05,0.006753863272024319
0.0006,0.001,4,6.248897136629239e-05,0.003393969833268784
0.0006,0.001,5,5.191761073319867e-05,0.001168423314084066
0.0006,0.001,6,8.152580198839132e-05,0.0005400700156314997
0.0006,0.001,-1,6.564444078094311e-05,3.626387598387737e-05
0.0006,0.003,1,0.00039549540542793693,0.12548090517520905
0.0006,0.003,2,6.715138505342111e-05,0.009202582412399352
0.0006,0.003,3,5.385172175920161e-05,0.0062765506154391915
0.0006,0.003,4,8.617442637159911e-05,0.0009480189619353041
0.0006,0.003,5,4.4720094251715636e-05,0.0003547842243278865
0.0006,0.003,6,5.9747184991465474e-05,0.0002735889702307759
0.0006,0.003,-1,6.428557122717393e-05,4.3070502385944565e-05
0.0006,0.01,1,0.001820226922063739,1.0145608513312254e-06
0.0006,0.01,2,4.3360493123145716e-05,0.00231129745952785
0.0006,0.01,3,4.796376106241951e-05,0.0008044329006224871
0.0006,0.01,4,3.348103217604148e-05,0.0002715857535804389
0.0006,0.01,5,5.7773330809141044e-05,0.00018929345424112398
0.0006,0.01,6,6.642984379823247e-05,0.00026778927986015333
0.0006,0.01,-1,0.00012326297030540445,6.113877270763624e-05
0.0006,0.03,1,0.0018203033851023065,1.1663397536665343e-06
0.0006,0.03,2,4.63393494101183e-05,0.0012277477580937557
0.0006,0.03,3,5.461250418647978e-05,0.00030416418940149015
