learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,4.969577139490866e-05,0.1510222563520074
0.0006,0,2,4.969577139490866e-05,0.07611763547174633
0.0006,0,3,4.969577139490866e-05,0.032957270508632064
0.0006,0,4,4.969577139490866e-05,0.0013385425554588437
0.0006,0,5,4.969577139490866e-05,6.263724276323046e-05
0.0006,0,6,4.969577139490866e-05,2.9785360311507247e-05
0.0006,0,-1,4.969577139490866e-05,2.570433046855669e-05
0.0006,0.001,1,8.699529905698e-05,1.7857032503343362e-05
0.0006,0.001,2,4.724658288068895e-05,1.08284063382591e-08
0.0006,0.001,3,4.9599769909036695e-05,1.2312367486666531e-08
0.0006,0.001,4,4.884536622284941e-05,3.198471002982539e-08
0.0006,0.001,5,5.9830774148394994e-05,1.5843864602238522e-08
0.0006,0.001,6,5.8737965673572035e-05,4.7103150935257077e-08
0.0006,0.001,-1,3.644785044798482e-05,2.4498069912226583e-05
0.0006,0.003,1,7.400519405109662e-05,1.5165840750341886e-05
0.0006,0.003,2,8.174123638582387e-05,5.146966380875639e-09
0.0006,0.003,3,3.9043174751896004e-05,2.863443282485889e-08
0.0006,0.003,4,5.1835164981639537e-05,7.260445059401044e-09
0.0006,0.003,5,4.944793556660443e-05,6.794749039459869e-09
0.0006,0.003,6,3.432030598560232e-05,9.561421709936013e-09
0.0006,0.003,-1,3.6609411040444684e-05,3.376212316652527e-05
0.0006,0.01,1,4.04310025032828e-05,1.6554846865801665e-05
0.0006,0.01,2,4.51803225587355e-05,5.2587294518957606e-08
0.0006,0.01,3,6.806883448007284e-05,7.680960372943857e-10
0.0006,0.01,4,5.021417490524982e-05,1.2782332770369664e-09
0.0006,0.01,5,4.780961404549089e-05,2.342030876525958e-09
0.0006,0.01,6,3.716934429576213e-05,4.489864681433975e-09
0.0006,0.01,-1,6.30225216582403e-05,2.380711285354664e-05
0.0006,0.03,1,8.516024325899707e-05,1.6224255034558155e-05
0.0006,0.03,2,4.6553620279610186e-05,2.789603392727713e-07
0.0006,0.03,3,3.4376512701328465e-05,7.678964664137311e-08
0.0006,0.03,4,3.9682185672518244e-05,2.8648514422834233e-10
0.0006,0.03,5,3.9531081029053894e-05,1.3719747135251814e-09
0.0006,0.03,6,4.533160108621814e-05,1.5488753075248995e-09
