learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,9.23999257338437e-05,212.4042501449585
0.0006,0,2,9.23999257338437e-05,54.87779474258423
0.0006,0,3,9.23999257338437e-05,1.7779709845781326
0.0006,0,4,9.23999257338437e-05,0.10367349861189723
0.0006,0,-1,9.23999257338437e-05,2.1314332940391978e-05
0.0006,0.001,1,0.00028937520528415916,0.2895691767334938
0.0006,0.001,2,4.490122353217885e-05,0.010943848523311317
0.0006,0.001,3,3.855623066328917e-05,0.0026428570854477584
0.0006,0.001,4,9.430965201318031e-05,0.0017162070871563628
0.0006,0.001,-1,4.058613467350369e-05,2.6657006742425438e-05
0.0006,0.003,1,0.0022666094300802797,0.00025419069606869016
0.0006,0.003,2,4.782585733664746e-05,0.00494064690428786
0.0006,0.003,3,3.36555376634351e-05,0.0010044492955785245
0.0006,0.003,4,3.573687001789949e-05,0.0008575277352065314
0.0006,0.003,-1,3.847051891625597e-05,2.4004931276522257e-05
0.0006,0.01,1,0.0022261626127146883,1.742936142079543e-07
0.0006,0.01,2,5.7339875183970435e-05,0.0017793085426092148
0.0006,0.01,3,5.162782554180012e-05,0.00046794537774985656
0.0006,0.01,4,4.726859526726912e-05,0.0002774693402898265
0.0006,0.01,-1,5.9332539422030095e-05,2.3787715917933383e-05
0.0006,0.03,1,0.0022256883548834594,1.551738280092252e-07
0.0006,0.03,2,3.366007177874053e-05,0.0012973727061762474
0.0006,0.03,3,3.256338322898955e-05,0.0002629307409733883
0.0006,0.03,4,5.1524740456443396e-05,0.00016956387548816565
0.0006,0.03,-1,6.902611687564786e-05,3.014280753177445e-05
0.0006,0.1,1,0.002225699859991437,4.41062768530287e-08
0.0006,0.1,2,4.6515794679180544e-05,0.000780398342612898
0.0006,0.1,3,3.538404018854635e-05,9.918757859850302e-05
0.0006,0.1,4,2.6306771360395942e-05,5.507957928330143e-05
0.0006,0.1,-1,4.613094404248841e-05,2.022136443713407e-05
0.0006,0.2,1,0.002227876446340815,1.906082207625559e-07
0.0006,0.2,2,8.787489707628993e-05,0.0005661603936459869
0.0006,0.2,3,6.334566637633543e-05,8.182710894288903e-05
0.0006,0.2,4,2.828480506877895e-05,4.323412360918155e-05
0.0006,0.2,-1,4.652005111438484e-05,1.5746938657912324e-05
0.0006,0.3,1,0.002225702097348403,2.522603592680639e-07
0.0006,0.3,2,7.264261398631788e-05,0.000479079944852856
0.0006,0.3,3,2.7081290852493112e-05,3.142719344850775e-05
0.0006,0.3,4,4.4883582177135395e-05,3.483478843691046e-05
0.0006,0.3,-1,3.997618682660686e-05,1.146335118562547e-05
0.0006,0.5,1,0.002225794335572573,8.158534781088633e-08
0.0006,0.5,2,0.00015990845031410572,0.00042751743058033753
0.0006,0.5,3,4.656608712139132e-05,2.7620942660178116e-05
0.0006,0.5,4,4.5265526068760664e-05,3.79588482815052e-05
0.0006,0.5,-1,4.46060330432374e-05,1.4470483449713356e-05
0.0006,1.0,1,0.002225964844910777,5.55957077708058e-07
0.0006,1.0,2,0.00025597931721677014,0.00030286539549706504
0.0006,1.0,3,4.507457367708412e-05,1.6272342293177644e-05
0.0006,1.0,4,4.18866114841876e-05,1.8946627733384958e-05
0.0006,1.0,-1,3.287870822532568e-05,8.907911308142502e-06
0.0006,2.0,1,0.002225735137471929,2.3217064715197466e-07
0.0006,2.0,2,0.0001262464018054743,0.00018523980361351278
0.0006,2.0,3,5.644049809916396e-05,1.288673027488585e-05
0.0006,2.0,4,5.2610083685067366e-05,2.1982771230000253e-05
0.0006,2.0,-1,4.905506580143992e-05,1.0827037357330482e-05
0.0006,3.0,1,0.0022267697313509416,3.9414672414750385e-08
0.0006,3.0,2,0.00015478248320732746,0.00015878267731750384
0.0006,3.0,3,3.447949984547449e-05,5.626096665878322e-06
0.0006,3.0,4,6.735276895142306e-05,1.3882549609434136e-05
0.0006,3.0,-1,9.627332656236831e-05,2.4133324075137352e-05
0.0006,5.0,1,0.002225467358584865,4.607162669145737e-07
0.0006,5.0,2,0.000337897873350812,0.00018405095124762738
0.0006,5.0,3,6.259952158416127e-05,6.9514697429440275e-06
0.0006,5.0,4,4.811264398085768e-05,8.105264313940097e-06
0.0006,5.0,-1,5.89866641576009e-05,1.4553491951119213e-05
0.0006,10.0,1,0.0022254966515902197,1.131628279971153e-08
0.0006,10.0,2,5.0887991960735235e-05,0.0001058992506841605
0.0006,10.0,3,0.00013882064922654536,1.985342542809576e-06
0.0006,10.0,4,5.064031529400381e-05,5.437712218281376e-06
0.0006,10.0,-1,7.348227882175706e-05,1.2705398624746067e-05
0.0006,100.0,1,0.0022255958583627944,4.429974231889844e-08
0.0006,100.0,2,0.0003997803310085146,9.286897056881571e-05
0.0006,100.0,3,0.0004240480229782406,3.097598303414273e-07
0.0006,100.0,4,0.0002371534910707851,7.999839808370268e-07
0.0006,100.0,-1,0.0007614211417603656,6.9718608024516016e-06
0.0006,0.0,,9.23999257338437e-05,0.0
