learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0003,0.1,1,0.0026591500300128246,1.030981082728033e-07
0.0003,0.1,2,0.002659108084117179,1.980111312605004e-05
0.0003,0.1,3,9.108154358727916e-05,0.0005278016815282172
0.0003,0.1,4,0.00010462683081868818,0.0003065109358431073
0.0003,0.1,5,9.573970669407572e-05,9.922090680447582e-05
0.0003,0.1,6,0.00013812830002279952,8.649943299587903e-05
0.0003,0.1,-1,5.8355809301247064e-05,3.6945423175893666e-05
0.0003,0.5,1,0.00265911384485662,3.0785520799270216e-07
0.0003,0.5,2,0.0026591147616272792,9.274713448803595e-06
0.0003,0.5,3,0.00011804534801740374,0.00017648813445703126
0.0003,0.5,4,4.504968228502548e-05,4.13560985634831e-05
0.0003,0.5,5,3.9402154015988344e-05,2.5954733303024113e-05
0.0003,0.5,6,0.0001296582703389504,4.597923998517217e-05
0.0003,0.5,-1,3.025431328751438e-05,2.128210839202893e-05
0.0003,1.0,1,0.002659171772393165,1.0675502437607065e-07
0.0003,1.0,2,0.0026591006826492958,1.0895494938267802e-05
0.0003,1.0,3,7.101552228050423e-05,6.87502558776032e-05
0.0003,1.0,4,0.0002405886696124071,5.579675394074002e-05
0.0003,1.0,5,7.378412857406147e-05,1.767643476568992e-05
0.0003,1.0,6,4.173593492851069e-05,1.2420724772255198e-05
0.0003,1.0,-1,8.075290963915904e-05,1.4238169683267188e-05
0.0003,0.0,,0.00020057236974935222,0.0
