learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0006,0,1,8.755059820941824e-05,0.05270305182784796
0.0006,0,2,8.755059820941824e-05,0.04819125705398619
0.0006,0,3,8.755059820941824e-05,0.001221740254550241
0.0006,0,4,8.755059820941824e-05,1.7510169413981203e-05
0.0006,0,-1,8.755059820941824e-05,5.760532027920817e-05
0.0006,0.001,1,0.00022573480828214088,2.5359393021062715e-05
0.0006,0.001,2,0.00017192301288559975,4.1413732532191716e-07
0.0006,0.001,3,0.00010219616899576067,7.661698725111576e-09
0.0006,0.001,4,7.958313040035137e-05,2.7026129778562336e-08
0.0006,0.001,-1,6.760918711279373e-05,2.1875710075391908e-05
0.0006,0.003,1,0.00011009007005213789,6.801709355386265e-05
0.0006,0.003,2,8.242205717579054e-05,1.152846680341213e-07
0.0006,0.003,3,0.00024238393643827294,1.0382133686093198e-07
0.0006,0.003,4,9.384651525579102e-05,8.295958098258893e-08
0.0006,0.003,-1,0.00016466178146856691,7.35122985702219e-05
0.0006,0.01,1,7.768944101371744e-05,2.6234597612528887e-05
0.0006,0.01,2,6.240259125434022e-05,1.1912964170690543e-07
0.0006,0.01,3,0.00012519757194695558,1.397412763845876e-09
0.0006,0.01,4,8.80812017385324e-05,2.4630549856630157e-09
0.0006,0.01,-1,0.00011638315800155397,3.560520667633682e-05
0.0006,0.03,1,8.264138477898086e-05,3.29017053672942e-05
0.0006,0.03,2,0.00012177934706869564,7.254630896014191e-08
0.0006,0.03,3,9.371506524757933e-05,1.386277652729289e-11
0.0006,0.03,4,0.00017439906400795735,5.734860447637047e-09
0.0006,0.03,-1,7.381087755220506e-05,2.7800499879049312e-05
0.0006,0.1,1,9.909589073231473e-05,2.4959335746643774e-05
0.0006,0.1,2,0.00010399666950888786,1.027135518860689e-07
0.0006,0.1,3,0.00015984102401489508,4.2608376375763424e-10
0.0006,0.1,4,0.00011243844801356317,2.6132892638058847e-10
0.0006,0.1,-1,8.591717050876468e-05,4.288426814014201e-05
0.0006,0.2,1,7.908864472483401e-05,1.5093374315711117e-05
0.0006,0.2,2,0.00011326639787512249,1.624711005732138e-07
0.0006,0.2,3,7.854524210415548e-05,6.122396114930685e-12
0.0006,0.2,4,0.00013561533182837593,1.4595923247817666e-08
0.0006,0.2,-1,8.537014861076386e-05,4.496021165323327e-05
0.0006,0.3,1,0.00010120406375335733,1.210127857120824e-05
0.0006,0.3,2,8.546972549083875e-05,6.792746787276371e-08
0.0006,0.3,3,8.245551964591868e-05,1.0025982079059012e-11
0.0006,0.3,4,0.00025972662933781976,3.293412268595697e-09
0.0006,0.3,-1,6.576325210971845e-05,1.4427410874873203e-05
0.0006,0.5,1,0.00014454111260420177,5.001408771931892e-05
0.0006,0.5,2,8.877861853306968e-05,1.5576273995066003e-06
0.0006,0.5,3,7.557658420864755e-05,1.176336549869872e-10
0.0006,0.5,4,9.001630508009839e-05,4.8505193785131073e-11
0.0006,0.5,-1,4.482786374637726e-05,1.4561723872930088e-05
0.0006,1.0,1,8.129127809297643e-05,2.2505055426336185e-05
0.0006,1.0,2,0.00019146242402712232,2.3147249894606148e-08
0.0006,1.0,3,7.68376160635853e-05,4.232319627140574e-11
0.0006,1.0,4,8.294044118883903e-05,7.991129598317048e-10
0.0006,1.0,-1,8.099726414911856e-05,1.863018337644462e-05
0.0006,2.0,1,0.00012301854508223187,4.4559390289578005e-05
0.0006,2.0,2,6.761237580121815e-05,2.8988668909768478e-08
0.0006,2.0,3,0.00010713832591591199,1.0670807645021775e-11
0.0006,2.0,4,6.568415966512475e-05,4.9678914573660776e-11
0.0006,2.0,-1,1.9954081665218837e-05,6.09946537366568e-06
0.0006,3.0,1,8.716801062291779e-05,3.529488094500266e-05
0.0006,3.0,2,9.690575211607211e-05,1.7943590169267054e-07
0.0006,3.0,3,8.03422032618073e-05,4.333307504489348e-09
0.0006,3.0,4,0.00013354346936012007,9.619981498681582e-11
0.0006,3.0,-1,2.8712206869840884e-05,5.771259111497784e-06
0.0006,5.0,1,0.0002698728203540668,7.232797679534997e-05
0.0006,5.0,2,8.132089362788975e-05,1.6888723142205464e-08
0.0006,5.0,3,5.548155019141632e-05,7.787357520980254e-11
0.0006,5.0,4,7.757652326745301e-05,8.954005386533487e-11
0.0006,5.0,-1,6.121344836174103e-05,1.1427672930608423e-05
0.0006,10.0,1,5.746750667867673e-05,1.3311326711118454e-05
0.0006,10.0,2,0.00017453789291721478,2.4060235359613102e-08
0.0006,10.0,3,6.784547232996374e-05,5.843430210192291e-10
0.0006,10.0,4,0.00016677300527589978,3.992656907674495e-11
0.0006,10.0,-1,6.692894316984166e-05,1.3434156244329643e-05
0.0006,100.0,1,6.704346742480993e-05,0.00010250864534100401
0.0006,100.0,2,9.000913792078791e-05,1.2606300170414642e-08
0.0006,100.0,3,0.0001267167820060422,1.3813785150473823e-09
0.0006,100.0,4,7.497528315525415e-05,1.1523219808906582e-09
0.0006,100.0,-1,0.0007872729893279029,8.627832148278003e-06
0.0006,0.0,,8.755059820941824e-05,0.0
