learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,6.5835995769703e-05,107.41679906845093
0.0001,0,2,6.5835995769703e-05,21.600855827331543
0.0001,0,3,6.5835995769703e-05,4.557739704847336
0.0001,0,4,6.5835995769703e-05,0.8232655487954617
0.0001,0,5,6.5835995769703e-05,0.1592684257775545
0.0001,0,6,6.5835995769703e-05,0.026965848985128105
0.0001,0,-1,6.5835995769703e-05,1.7349132619415286e-05
0.0001,0.001,1,0.0005521224288713711,0.9404527433216572
0.0001,0.001,2,4.6297042274545674e-05,0.035047279205173254
0.0001,0.001,3,5.04731955288662e-05,0.013974764617159963
0.0001,0.001,4,4.410540188359846e-05,0.006370843504555523
0.0001,0.001,5,4.92232885278554e-05,0.0028106625977670774
0.0001,0.001,6,5.60125088213681e-05,0.0016499748162459582
0.0001,0.001,-1,6.525567118842446e-05,2.267115443999046e-05
0.0001,0.003,1,0.00046114425481391663,0.29515238106250763
0.0001,0.003,2,4.0201984688792436e-05,0.01512649841606617
0.0001,0.003,3,4.841472761540899e-05,0.006150709697976708
0.0001,0.003,4,4.8362091490616876e-05,0.003043468503165059
0.0001,0.003,5,5.492862356959449e-05,0.0013064611775917
0.0001,0.003,6,5.099435190913937e-05,0.0009500272171862889
0.0001,0.003,-1,5.438806152824327e-05,2.373639088659729e-05
0.0001,0.01,1,0.00047868229898995196,0.09766656579449773
0.0001,0.01,2,4.960454225511057e-05,0.006367009307723492
0.0001,0.01,3,5.155547361823665e-05,0.002354368960368447
0.0001,0.01,4,4.361855886259036e-05,0.0013490472483681515
0.0001,0.01,5,4.7243550255871014e-05,0.0006326577349682339
0.0001,0.01,6,5.518966617046317e-05,0.00041029052044905256
0.0001,0.01,-1,6.116681265666557e-05,2.6067374513161212e-05
0.0001,0.03,1,0.0024962576944744796,0.019964568899013102
0.0001,0.03,2,6.775161881478198e-05,0.002944449573988095
0.0001,0.03,3,4.101768394093597e-05,0.00112499582246528
0.0001,0.03,4,5.957770150644137e-05,0.0006980659636610653
0.0001,0.03,5,4.5980145984003684e-05,0.00026686271939979633
0.0001,0.03,6,4.376071726142072e-05,0.00017054082036338514
0.0001,0.03,-1,5.258125187879159e-05,1.775342193965912e-05
0.0001,0.1,1,0.0025525702021695906,0.0041900560609065
0.0001,0.1,2,6.360529613402832e-05,0.0014136176177999005
0.0001,0.1,3,4.1750270725060545e-05,0.0004890843410976231
