learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,5.98601277488342e-05,116.88091850280762
0.0001,0,2,5.98601277488342e-05,34.136049032211304
0.0001,0,3,5.98601277488342e-05,8.48326751589775
0.0001,0,4,5.98601277488342e-05,1.443125195801258
0.0001,0,5,5.98601277488342e-05,0.2508533513173461
0.0001,0,6,5.98601277488342e-05,0.04527324717491865
0.0001,0,-1,5.98601277488342e-05,2.304429244759376e-05
0.0001,0.001,1,0.0001815058187730756,1.0818184055387974
0.0001,0.001,2,5.868525954610959e-05,0.03342925384640694
0.0001,0.001,3,6.183446089380595e-05,0.011640630546025932
0.0001,0.001,4,7.026684841093811e-05,0.006747018662281334
0.0001,0.001,5,4.767671623540082e-05,0.003968211924075149
0.0001,0.001,6,5.1148805368939065e-05,0.0020161459542578086
0.0001,0.001,-1,5.442732572191744e-05,1.961264111116634e-05
0.0001,0.003,1,0.0001646431148856209,0.29049402102828026
0.0001,0.003,2,9.156774967777892e-05,0.013757511973381042
0.0001,0.003,3,6.76272347845952e-05,0.004648840898880735
0.0001,0.003,4,6.846302517260483e-05,0.0030595574498875067
0.0001,0.003,5,4.76419123742744e-05,0.0017279769745073281
0.0001,0.003,6,5.052850610809401e-05,0.0010319952052668668
0.0001,0.003,-1,4.039515272324934e-05,1.8274576028431966e-05
0.0001,0.01,1,0.0021858700119992136,0.07281169714406133
0.0001,0.01,2,8.704593506081437e-05,0.0058589277032297105
0.0001,0.01,3,6.018698877596762e-05,0.0018922215604106896
0.0001,0.01,4,5.7407693020650186e-05,0.0012856967150582932
0.0001,0.01,5,6.88817619902693e-05,0.0008013098122319207
0.0001,0.01,6,4.5918361252006434e-05,0.0004816809687326895
0.0001,0.01,-1,4.93085557309314e-05,1.694600069868102e-05
0.0001,0.03,1,0.0006962600627957727,0.04353892640210688
0.0001,0.03,2,9.048479751072591e-05,0.002715830793022178
0.0001,0.03,3,8.258478919742629e-05,0.0009561317128827795
0.0001,0.03,4,6.304086321051727e-05,0.0005024790134484647
