learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,5.946819794644398e-05,111.6303539276123
0.0001,0,2,5.946819794644398e-05,22.19568109512329
0.0001,0,3,5.946819794644398e-05,3.6109537333250046
0.0001,0,4,5.946819794644398e-05,0.5270248632878065
0.0001,0,5,5.946819794644398e-05,0.09128194861114025
0.0001,0,6,5.946819794644398e-05,0.01643667049938813
0.0001,0,-1,5.946819794644398e-05,3.718005729069773e-05
0.0001,0.001,1,0.00016040188143051637,0.9077396877110004
0.0001,0.001,2,9.571082841830503e-05,0.025687011890113354
0.0001,0.001,3,6.350878186367481e-05,0.00823577554547228
0.0001,0.001,4,6.53911981771671e-05,0.0042101480648852885
0.0001,0.001,5,6.0566854699573014e-05,0.0024374947388423607
0.0001,0.001,6,6.0052224057471904e-05,0.0015060008518048562
0.0001,0.001,-1,6.450301839322492e-05,2.8304368015596992e-05
0.0001,0.003,1,0.00015688422945459024,0.3134138248860836
0.0001,0.003,2,7.24280628219276e-05,0.011015337950084358
0.0001,0.003,3,5.606336901564646e-05,0.0037428721698233858
0.0001,0.003,4,6.0436822877818486e-05,0.0019263201102148741
0.0001,0.003,5,6.913108950357127e-05,0.0010208647727267817
0.0001,0.003,6,5.701309726191539e-05,0.0006337677441479173
0.0001,0.003,-1,5.8731784292831435e-05,2.3491795502650348e-05
0.0001,0.01,1,0.00032539736548642395,0.12839529011398554
0.0001,0.01,2,7.678760266571771e-05,0.005325098230969161
0.0001,0.01,3,5.1665713385773415e-05,0.0016444813372800127
0.0001,0.01,4,5.953748427600658e-05,0.0008759223164815921
0.0001,0.01,5,6.255606376726064e-05,0.00043567197099037003
0.0001,0.01,6,4.657620343095914e-05,0.0002987456482514972
0.0001,0.01,-1,5.134737227763253e-05,2.3712974979162027e-05
0.0001,0.03,1,0.0010235576701234095,0.051939022494480014
0.0001,0.03,2,8.175787161235348e-05,0.002389645727816969
0.0001,0.03,3,4.334820641815895e-05,0.000783970292104641
0.0001,0.03,4,6.189878331497312e-05,0.0004405452109494945
0.0001,0.03,5,6.112484936693363e-05,0.0002210570482930052
0.0001,0.03,6,4.433468177467148e-05,0.0001481463705204078
0.0001,0.03,-1,5.185495638215798e-05,1.7404331686066143e-05
0.0001,0.1,1,0.0035494741077854997,0.008405049185967073
0.0001,0.1,2,9.969081190774887e-05,0.0012919486398459412
0.0001,0.1,3,5.392093476075388e-05,0.00036905784872942604
0.0001,0.1,4,6.122963964116934e-05,0.00019883634286088636
0.0001,0.1,5,4.6547532292606775e-05,8.514013302374224e-05
0.0001,0.1,6,4.629216141438519e-05,8.208861936509493e-05
0.0001,0.1,-1,4.180046539659088e-05,1.6700762500931887e-05
0.0001,0.2,1,0.003597676006393158,0.0050224878359586
0.0001,0.2,2,0.00011597579054978269,0.0007895323942648247
0.0001,0.2,3,5.9820433079949e-05,0.00027868375764228404
0.0001,0.2,4,6.813751770096133e-05,0.00011909952218047692
0.0001,0.2,5,4.4023837403983634e-05,5.91174189139565e-05
0.0001,0.2,6,4.140163059673796e-05,4.887532338671008e-05
0.0001,0.2,-1,4.815820238945889e-05,1.2851998008045484e-05
0.0001,0.3,1,0.003592722991015762,0.004917649697745219
0.0001,0.3,2,0.00012513592946561403,0.0006316540275292937
0.0001,0.3,3,6.802959001106501e-05,0.0002144442369171884
0.0001,0.3,4,6.497023014162551e-05,7.848306040614261e-05
0.0001,0.3,5,4.522284893937467e-05,4.410626002027129e-05
0.0001,0.3,6,4.10400756436502e-05,4.34773899087304e-05
0.0001,0.3,-1,3.680772891812012e-05,9.47587756172652e-06
0.0001,0.5,1,0.0035939578319812426,0.004861170164076611
0.0001,0.5,2,0.00013141630552127026,0.0005191341442696285
0.0001,0.5,3,7.733181837465963e-05,0.00017357953493046807
0.0001,0.5,4,7.175799964898033e-05,5.3225316833049874e-05
0.0001,0.5,5,5.222050867814687e-05,3.511238810460782e-05
0.0001,0.5,6,4.014338423985464e-05,3.065996446593999e-05
0.0001,0.5,-1,3.178863335051574e-05,9.660889432439035e-06
0.0001,1.0,1,0.003593073950469261,0.004841560599743389
0.0001,1.0,2,0.0002051155902336177,0.0003165331236232305
0.0001,1.0,3,7.990310882632912e-05,0.00010847805879166117
0.0001,1.0,4,6.493057321677043e-05,3.345952120525908e-05
0.0001,1.0,5,5.3444755849341163e-05,1.665078650603391e-05
0.0001,1.0,6,4.2958348672073043e-05,2.372208916767704e-05
0.0001,1.0,-1,3.532253748517178e-05,8.202935589451954e-06
0.0001,2.0,1,0.0035798102762782946,0.004836486448766664
0.0001,2.0,2,0.00025227138576155994,0.0002534538625695859
0.0001,2.0,3,8.804798858363938e-05,7.561735355920973e-05
0.0001,2.0,4,9.257785472982505e-05,1.7802216234485968e-05
0.0001,2.0,5,4.375533933398401e-05,9.182533062812581e-06
0.0001,2.0,6,5.340332211289933e-05,1.6801826632217853e-05
0.0001,2.0,-1,3.196023612872523e-05,7.672612035491966e-06
0.0001,3.0,1,0.0035998101611767197,0.004835557396290824
0.0001,3.0,2,0.00034636410418897867,0.0002269338137921295
0.0001,3.0,3,9.783250925465836e-05,6.388353904185351e-05
0.0001,3.0,4,9.567725874148891e-05,1.1941342791033094e-05
0.0001,3.0,5,5.6880150850702194e-05,6.605185490116128e-06
0.0001,3.0,6,5.491350668762607e-05,1.1436448318136172e-05
0.0001,3.0,-1,3.1559229341837636e-05,7.403405522410367e-06
0.0001,5.0,1,0.0035955879393441137,0.0048349016142310575
0.0001,5.0,2,0.0012540248162622447,0.00022050490042602178
0.0001,5.0,3,0.00010916085784629104,5.3146952495808364e-05
0.0001,5.0,4,0.00011627625599430758,7.783981345710345e-06
0.0001,5.0,5,4.763354780834561e-05,4.470893294694633e-06
0.0001,5.0,6,5.083148175799579e-05,8.651479376453608e-06
0.0001,5.0,-1,3.565049610187998e-05,7.0025032385956365e-06
0.0001,10.0,1,0.0035858894225384574,0.004834608087548986
0.0001,10.0,2,0.0029746707714366494,0.00014271993495640345
0.0001,10.0,3,0.0001822435137910361,4.624309781320335e-05
0.0001,10.0,4,0.00011766436045945738,4.019147496592268e-06
0.0001,10.0,5,5.275656212688773e-05,2.1486537278292417e-06
0.0001,10.0,6,6.450929470247502e-05,6.504082818992174e-06
0.0001,10.0,-1,4.350283381882036e-05,5.5604661994834714e-06
0.0001,100.0,1,0.003593217883462785,0.00483454845380038
0.0001,100.0,2,0.0034033478495985037,0.00011454776586106163
0.0001,100.0,3,0.003526180737026152,1.976628880129283e-05
0.0001,100.0,4,0.0005626714382742648,3.581001797314798e-07
0.0001,100.0,5,0.0003010463606187841,6.414246760400033e-07
0.0001,100.0,6,0.0003524216508594691,2.7747909516762093e-06
0.0001,100.0,-1,0.0003738317554962123,3.0947521993951455e-06
0.0001,0.0,,5.946819794644398e-05,0.0
