learning_rate,lambda_sym_max,mu_head,symmetry_layer,test_task_loss,test_sym_loss
0.0001,1.0,1.0,1,0.00011277420162514318,0.00012840952558690333
0.0001,1.0,1.0,2,0.00018568294808574137,3.6393022696756816e-05
0.0001,1.0,1.0,3,0.00026164986502408283,5.7719628443919646e-05
0.0001,1.0,1.0,4,0.00014015547162671282,2.6699370891947183e-05
0.0001,1.0,1.0,5,0.00010687078429327812,2.156887455839751e-05
0.0001,1.0,1.0,6,6.70937275799588e-05,1.4332153824625493e-05
0.0001,1.0,1.0,-1,9.016580997922574e-05,1.6202135157072917e-05
0.0001,1.0,1.0,,0.00012079259659003583,0.0
