learning_rate,lambda_sym_max,mu_head,symmetry_layer,test_task_loss,test_sym_loss
0.0001,1.0,1.0,1,4.424730332175386e-05,0.0001533723570901202
0.0001,1.0,1.0,2,8.62302679252025e-05,4.1605688238632865e-05
0.0001,1.0,1.0,3,0.00011166767581016757,4.9902539046797756e-05
0.0001,1.0,1.0,4,5.0879737841569295e-05,1.8023491151097915e-05
0.0001,1.0,1.0,5,6.299908591245185e-05,1.4246836428810639e-05
0.0001,1.0,1.0,6,5.005825892112625e-05,9.323295543595123e-06
0.0001,1.0,1.0,-1,3.4657178161978663e-05,6.619804604923729e-06
0.0001,1.0,1.0,,5.220299760821945e-05,0.0
