learning_rate,lambda_sym_max,mu_head,symmetry_layer,test_task_loss,test_sym_loss
0.0001,1.0,1.0,1,0.00018487363854546857,0.00012373754498185008
0.0001,1.0,1.0,2,0.0003479698234514217,7.84648395892873e-05
0.0001,1.0,1.0,3,0.00025050135127457906,4.323733105593419e-05
0.0001,1.0,1.0,4,8.086080720204336e-05,1.4664674012010437e-05
0.0001,1.0,1.0,-1,7.474276139873837e-05,1.3734523747643834e-05
0.0001,1.0,1.0,,0.00019178430943611602,0.0
