learning_rate,lambda_sym_max,mu_head,symmetry_layer,test_task_loss,test_sym_loss
0.0001,1.0,1.0,1,0.00026975999935530126,0.00011793319481512299
0.0001,1.0,1.0,2,0.00032736463344917865,5.864182844561583e-05
0.0001,1.0,1.0,3,0.00032336248386855004,4.802482567356492e-05
0.0001,1.0,1.0,4,7.67641869288127e-05,1.7830927703244015e-05
0.0001,1.0,1.0,-1,7.276840688064112e-05,1.4037925069487756e-05
0.0001,1.0,1.0,,0.00016101580433769414,0.0
