learning_rate,lambda_sym_max,mu_head,symmetry_layer,test_task_loss,test_sym_loss
0.0001,1.0,1.0,1,0.00013352665951060771,0.0002438671454001451
0.0001,1.0,1.0,2,0.0002382862035119615,8.125422755256295e-05
0.0001,1.0,1.0,3,0.00022298571684586932,4.7364153260787134e-05
