learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,8.929467708185257e-05,684.5612831115723
0.0001,0,2,8.929467708185257e-05,297.31058502197266
0.0001,0,3,8.929467708185257e-05,57.943830251693726
0.0001,0,4,8.929467708185257e-05,6.3212926387786865
0.0001,0,-1,8.929467708185257e-05,4.282083688167404e-05
0.0001,0.001,1,0.002302486071130261,0.12732869386672974
0.0001,0.001,2,0.002296645729074953,6.963915370761242e-05
0.0001,0.001,3,6.0874247310493956e-05,0.01899593335110694
0.0001,0.001,4,7.589074948555208e-05,0.008586844662204385
0.0001,0.001,-1,0.00010714381801335549,5.497395420661633e-05
0.0001,0.003,1,0.0023032967692415696,0.06091752205975354
0.0001,0.003,2,0.002296704304171726,7.445526989613427e-05
0.0001,0.003,3,7.193673468464112e-05,0.008537451911251992
0.0001,0.003,4,7.428539902321063e-05,0.0034480408648960292
0.0001,0.003,-1,0.00011475331893961993,5.214221414462372e-05
0.0001,0.01,1,0.002303310022398364,0.04532018466852605
0.0001,0.01,2,0.0022966435499256477,8.929674095270457e-05
0.0001,0.01,3,0.00011485875211292296,0.0057060020917560905
0.0001,0.01,4,6.641481252245285e-05,0.0014263303819461726
0.0001,0.01,-1,8.814824582259462e-05,3.919814821529144e-05
0.0001,0.03,1,0.0023030554766592104,0.04198071267455816
0.0001,0.03,2,0.002296633054356789,0.0001576784961798694
0.0001,0.03,3,8.702465959231631e-05,0.0015600573824485764
0.0001,0.03,4,5.7625342662959156e-05,0.0006245440708880778
0.0001,0.03,-1,0.00010749091700290592,4.0680741790311004e-05
0.0001,0.1,1,0.0023031766759231687,0.041423663729801774
0.0001,0.1,2,0.0022966239630477503,0.00010801108146551996
0.0001,0.1,3,9.809511425373785e-05,0.0007556020827905741
0.0001,0.1,4,4.518942228060041e-05,0.00026469128442840884
0.0001,0.1,-1,6.19155679260075e-05,2.3852207107211143e-05
0.0001,0.2,1,0.002297880910191452,0.041381129529327154
0.0001,0.2,2,0.002296632985235192,0.00016963215375653817
0.0001,0.2,3,9.732447961141588e-05,0.00036891674062644597
0.0001,0.2,4,8.453581767753349e-05,0.0002949556728708558
0.0001,0.2,-1,5.432714851849596e-05,1.6521290945092915e-05
0.0001,0.3,1,0.0023015425031189807,0.041349235689267516
0.0001,0.3,2,0.002296715261763893,0.000119256537345791
0.0001,0.3,3,8.60872498833487e-05,0.00034007867907348555
0.0001,0.3,4,6.349317686726863e-05,0.0001297009894187795
0.0001,0.3,-1,4.4202750245858624e-05,1.8985360043188848e-05
0.0001,0.5,1,0.0023042639913910534,0.04133791127242148
0.0001,0.5,2,0.0022966356664255727,6.407668297470082e-05
0.0001,0.5,3,0.00013057015303274966,0.00015382210949610453
0.0001,0.5,4,6.304989699401631e-05,0.00011778385987781803
0.0001,0.5,-1,7.525912042183336e-05,2.5841224385203532e-05
0.0001,1.0,1,0.002304569752595853,0.041336179710924625
0.0001,1.0,2,0.0022966425131016877,4.48837145086145e-05
0.0001,1.0,3,0.00018065386939269956,7.596014575028676e-05
0.0001,1.0,4,6.763201781723183e-05,5.4016444892113213e-05
0.0001,1.0,-1,8.448767357549514e-05,3.462947393018112e-05
0.0001,2.0,1,0.0023005057337286416,0.04133661789819598
0.0001,2.0,2,0.002296632566867629,4.016935054096393e-05
0.0001,2.0,3,0.0005814935238959151,6.53030060675519e-05
0.0001,2.0,4,0.0001278289541915001,3.5676509696713765e-05
0.0001,2.0,-1,7.491917267543613e-05,2.329764171804527e-05
0.0001,3.0,1,0.0023017018065729644,0.04133486934006214
0.0001,3.0,2,0.00229662585479673,0.00010285348662364413
0.0001,3.0,3,0.0006198275036695122,5.814003748128016e-05
0.0001,3.0,4,0.00013826277154294075,2.6778769893098797e-05
0.0001,3.0,-1,5.0402747774569434e-05,2.3955757427529534e-05
0.0001,5.0,1,0.0023032108838378917,0.04133479041047394
0.0001,5.0,2,0.0022966940050537232,0.00010753270680652349
0.0001,5.0,3,0.0006587708330698661,1.859983791518971e-05
0.0001,5.0,4,0.0001693385333965125,2.3916365876175405e-05
0.0001,5.0,-1,5.6663061513972934e-05,1.7172872077253487e-05
0.0001,10.0,1,0.0023037518476485275,0.04133466794155538
0.0001,10.0,2,0.0022966367432672996,0.00016262748522422044
0.0001,10.0,3,0.0022968941811996046,4.544691591945593e-05
0.0001,10.0,4,0.00027380826213629916,1.5951047089401982e-05
0.0001,10.0,-1,7.377006454589718e-05,8.24894097206652e-06
0.0001,100.0,1,0.0022997298328846227,0.04133466514758766
0.0001,100.0,2,0.0022966244141571224,0.00010686592031561304
0.0001,100.0,3,0.0022969643978285603,2.699672137396192e-06
0.0001,100.0,4,0.0022966352225921582,4.263282793459666e-08
0.0001,100.0,-1,0.001138142131821951,9.361319781575617e-07
0.0001,0.0,,8.929467708185257e-05,0.0
