learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss
0.0001,0,1,0.00015235482260322897,719.5741577148438
0.0001,0,2,0.00015235482260322897,330.01144790649414
0.0001,0,3,0.00015235482260322897,71.71559715270996
0.0001,0,4,0.00015235482260322897,9.742653965950012
0.0001,0,-1,0.00015235482260322897,7.155210175824323e-05
0.0001,0.001,1,0.002666606744242017,0.26738777942955494
0.0001,0.001,2,0.0026663194175853278,0.00011133956832054537
0.0001,0.001,3,8.1176421872442e-05,0.02765740966424346
0.0001,0.001,4,6.29583727231875e-05,0.009388187434524298
0.0001,0.001,-1,0.00015301486973839928,5.4588781097208994e-05
0.0001,0.003,1,0.0026656592308427207,0.0859544682316482
0.0001,0.003,2,0.0026662487825888093,7.138453156585456e-05
0.0001,0.003,3,7.496562318465294e-05,0.010001238202676177
0.0001,0.003,4,5.475866998949641e-05,0.004040927946334705
0.0001,0.003,-1,0.00013288185823512322,5.424174719337316e-05
0.0001,0.01,1,0.002665894615347497,0.05265040835365653
0.0001,0.01,2,0.0026662794439289428,4.304079584471765e-05
0.0001,0.01,3,0.000106946507230532,0.004124394021346234
0.0001,0.01,4,0.00010051377398667682,0.0022696422893204726
0.0001,0.01,-1,0.0001309955141550745,4.881214010765689e-05
0.0001,0.03,1,0.002665866616553103,0.044266665587201715
0.0001,0.03,2,0.002666389242222067,4.8585744934825925e-05
0.0001,0.03,3,0.00010758672760857735,0.002296326420037076
0.0001,0.03,4,0.00011273973041170393,0.0014736891971551813
0.0001,0.03,-1,0.00011223306603369565,3.867322459427669e-05
0.0001,0.1,1,0.0026659041300263198,0.04156026849523187
0.0001,0.1,2,0.0026665389264053374,4.029010187878157e-05
0.0001,0.1,3,0.00013766383699476137,0.0006237441011762712
0.0001,0.1,4,7.003625012202974e-05,0.000373648983440944
0.0001,0.1,-1,9.44610060287232e-05,3.287938733365081e-05
0.0001,0.2,1,0.002665967248958623,0.041122291004285216
0.0001,0.2,2,0.0026665475943445927,2.8155278982922027e-05
0.0001,0.2,3,0.0002329012945665454,0.0003351458890392678
0.0001,0.2,4,9.977384274861834e-05,0.00030341670571942814
0.0001,0.2,-1,8.484468150982138e-05,3.188074583704292e-05
0.0001,0.3,1,0.0026657648959371727,0.04103987361304462
0.0001,0.3,2,0.0026664376005101076,3.961600759794237e-05
0.0001,0.3,3,0.0002421122098894557,0.00025041827029781416
0.0001,0.3,4,7.717581365795922e-05,0.0003261590336478548
0.0001,0.3,-1,5.2342084018164314e-05,1.5630606810645986e-05
0.0001,0.5,1,0.0026656546788217383,0.041000823490321636
0.0001,0.5,2,0.002666561017576896,4.790502362084226e-05
0.0001,0.5,3,0.0003783308502534055,0.00020314949597377563
0.0001,0.5,4,0.00015873790016485145,0.00014594321510230657
0.0001,0.5,-1,9.8936185850107e-05,2.4432755424186325e-05
0.0001,1.0,1,0.0026653039758457453,0.04097297484986484
0.0001,1.0,2,0.0026665936643439636,5.5253595746762585e-05
0.0001,1.0,3,0.0004461123953660717,0.0001268013174922089
0.0001,1.0,4,0.0001794042400433682,8.884972839950933e-05
0.0001,1.0,-1,7.45191907753906e-05,1.913840210931994e-05
0.0001,2.0,1,0.002666025005055417,0.04096780065447092
0.0001,2.0,2,0.002666604422756791,1.7620424500819354e-05
0.0001,2.0,3,0.0005167157078176388,7.019034296718019e-05
0.0001,2.0,4,0.00023747163504594937,8.617222101747757e-05
0.0001,2.0,-1,4.3118271719322365e-05,1.2030247617644818e-05
0.0001,3.0,1,0.002666475996193185,0.04096635011956096
0.0001,3.0,2,0.002666666057848488,2.1576914832621696e-05
0.0001,3.0,3,0.000520753384080308,5.0121671165470616e-05
0.0001,3.0,4,0.0002573955569005193,4.850202776651713e-05
0.0001,3.0,-1,5.7304927167933783e-05,1.3039435728501303e-05
0.0001,5.0,1,0.002666068295184232,0.04096655501052737
0.0001,5.0,2,0.002666586372470192,2.46455847445759e-05
0.0001,5.0,3,0.0014455988521149266,2.1078513213979022e-05
0.0001,5.0,4,0.0002787388359593024,2.754322474629589e-05
0.0001,5.0,-1,6.784627487377293e-05,1.7736208960172917e-05
0.0001,10.0,1,0.0026665252071325085,0.04096607677638531
0.0001,10.0,2,0.0026666362127798493,3.2519674846298585e-05
0.0001,10.0,3,0.001445148947823327,4.387425246932253e-05
0.0001,10.0,4,0.0004103141836822033,1.61094394002248e-05
0.0001,10.0,-1,0.00011917512779291428,1.1689149928884035e-05
0.0001,100.0,1,0.002666049437266338,0.04096589516848326
0.0001,100.0,2,0.0026667241463655955,4.384466092233197e-05
0.0001,100.0,3,0.0026669686581044516,1.620963314508117e-05
0.0001,100.0,4,0.0026658545048121596,3.016252991816515e-08
0.0001,100.0,-1,0.0010223252984360442,2.562452375620694e-06
0.0001,0.0,,0.00015235482260322897,0.0
