learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,3.688092988340941e-05,1.931502811203245e-05,5.4533673754519896e-06
0.0001,0.5,0.5,3.2771064013559226e-05,3.071517767239129e-05,7.4376930925268425e-06
