learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,5.2313709034024214e-05,2.548804479829414e-05,4.748042044866452e-06
0.0001,0.5,0.5,3.799825617534225e-05,4.1640963104327966e-05,6.658292015515599e-06
