learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,0.000100864316436855,7.640376270501292e-05,5.485857311526843e-06
0.0001,0.5,0.5,0.00010060836746106361,0.00011561324254216743,7.306428827291711e-06
