learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,5.438180767214362e-05,2.976182724978571e-05,7.260118813690042e-06
0.0001,0.5,0.5,5.571905228407559e-05,4.0489498019269377e-05,6.64726255550363e-06
