learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,4.604251967066375e-05,3.914946626082383e-05,2.7238662534401215e-06
0.0001,0.5,0.5,4.2383429729397903e-05,7.398374555123155e-05,4.447172294419488e-06
