learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,3.688522946276862e-05,1.908215665480384e-05,5.360115304497981e-06
0.0001,0.5,0.5,4.0671188287433324e-05,2.90301442191776e-05,6.207316939565999e-06
