learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,9.421490995009663e-05,6.397917650247109e-05,6.436664705233852e-06
0.0001,0.5,0.5,7.357089521065063e-05,0.00010499365453142673,9.75065992747659e-06
