learning_rate,lambda_sym_1_max,lambda_sym_2_max,test_task_loss,test_sym_loss_1,test_sym_loss_2
0.0001,1.0,1.0,0.0001236272364621982,7.885007494223828e-05,4.748339801352586e-06
0.0001,0.5,0.5,9.038761186275224e-05,9.952095297194319e-05,4.432668900378189e-06
