learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.12977388687431812,0.8296000584959984,0.41028266568201444
0.0001,0.001,2,0.14355760253965855,0.1637673955410719,0.4373164065831782
0.0001,0.001,3,0.13882827199995518,0.036749438382685184,0.42330650675752507
0.0001,0.001,4,0.08863202948123217,114.4569149017334,0.3584006076874012
0.0001,0.001,5,0.1332208001986146,71.95908546447754,0.4369529595361429
0.0001,0.001,6,0.0736179081723094,26.03147840499878,0.31469048815277895
0.0001,0.001,7,0.03243865887634456,8.509534895420074,0.20642827572459538
0.0001,0.001,-1,0.13530394155532122,1.140718936920166,0.4296168501163438
0.0001,0.01,1,0.13936238270252943,0.8256550580263138,0.4391246285660955
0.0001,0.01,2,0.12674282863736153,0.164030184969306,0.4177537499240612
0.0001,0.01,3,0.14419415220618248,0.036613639909774065,0.4297002281564745
0.0001,0.01,4,0.03746158117428422,9.916561603546143,0.22267223751387175
0.0001,0.01,5,0.12824113387614489,13.57700264453888,0.4121920150015774
0.0001,0.01,6,0.06070409622043371,8.905733942985535,0.2891699335129922
0.0001,0.01,7,0.039485979825258255,4.0152992606163025,0.22575011886024127
0.0001,0.01,-1,0.043438286520540714,0.45636989176273346,0.23459925431246487
0.0001,0.1,1,0.1363395694643259,0.8276189565658569,0.4248990778283046
0.0001,0.1,2,0.13943401537835598,0.16053097695112228,0.44276466179771706
0.0001,0.1,3,0.1507530752569437,0.036681925412267447,0.45118256370766235
0.0001,0.1,4,0.1595204658806324,2.326602280139923,0.4609076712962242
0.0001,0.1,5,0.22516650706529617,1.6891029328107834,0.5534872836896841
0.0001,0.1,6,0.10555294156074524,1.3168009519577026,0.37420662881613603
0.0001,0.1,7,0.07180797401815653,0.792401634156704,0.30359559303669087
0.0001,0.1,-1,0.035944327944889665,0.18158519454300404,0.21612863307633934
0.0001,1.0,1,0.12974694650620222,0.7584171816706657,0.4208621147702599
0.0001,1.0,2,0.12921159714460373,0.13620613515377045,0.41819782300211267
0.0001,1.0,3,0.15011382475495338,0.03222477529197931,0.4668006084910469
0.0001,1.0,4,0.3225364126265049,18.520320415496826,0.6401184495758351
0.0001,1.0,5,0.3665768913924694,6.404572427272797,0.6832464804963663
0.0001,1.0,6,0.30907628685235977,5.052460551261902,0.6383042946286542
0.0001,1.0,7,0.2411044780164957,0.13265699706971645,0.5631208179970054
0.0001,1.0,-1,0.051201071590185165,0.057089968118816614,0.2603694340212815
0.0001,10.0,1,0.1107862014323473,0.4777579829096794,0.3835188877068923
0.0001,10.0,2,0.10701578576117754,0.029303780058398843,0.40152132779077043
0.0001,10.0,3,0.11825158167630434,0.012166164931841195,0.38847402681657245
0.0001,10.0,4,0.3339519016444683,8.953341007232666,0.6629543172209718
0.0001,10.0,5,0.5420789830386639,1.176688402891159,0.839789679231384
0.0001,10.0,6,0.4922437258064747,0.6836970001459122,0.7995733139099314
0.0001,10.0,7,0.4064374007284641,0.25358706898987293,0.7449739426372112
0.0001,10.0,-1,0.17039311490952969,0.008018510416150093,0.4717034349631804
0.0001,0.0,,0.1393084079027176,,0.4294108182056086
