learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.09269634541124105,0.8739462643861771,0.3535398129571123
0.0001,0.001,2,0.058654241263866425,0.18687208369374275,0.28092409507086213
0.0001,0.001,3,0.07984016556292772,0.04331499943509698,0.3263087452104117
0.0001,0.001,4,0.04733118135482073,95.76002979278564,0.2523380918409505
0.0001,0.001,5,0.1419557286426425,79.91076278686523,0.43646633419276426
0.0001,0.001,6,0.05822104029357433,30.90438675880432,0.2828756684487811
0.0001,0.001,7,0.04588945535942912,13.501269221305847,0.24907251756239263
0.0001,0.001,-1,0.12750355154275894,1.6686910837888718,0.41657680626205823
0.0001,0.01,1,0.06366364704445004,0.8748261481523514,0.2889494885052577
0.0001,0.01,2,0.07128773396834731,0.18607278354465961,0.3075548404270833
0.0001,0.01,3,0.06265779212117195,0.043415193911641836,0.29226908857054884
0.0001,0.01,4,0.034898362355306745,7.322996973991394,0.21509549317905724
0.0001,0.01,5,0.19216007366776466,11.730406641960144,0.5038567243547347
0.0001,0.01,6,0.06717874249443412,10.197363257408142,0.30506769318974186
0.0001,0.01,7,0.03781609842553735,3.9457218647003174,0.21767432614209184
0.0001,0.01,-1,0.112139574252069,1.1818680316209793,0.38996149992549234
0.0001,0.1,1,0.09324601665139198,0.8619778603315353,0.35509463576911604
0.0001,0.1,2,0.06937428563833237,0.18033949099481106,0.29700983636374184
0.0001,0.1,3,0.12488479167222977,0.04097065608948469,0.4152771985715518
0.0001,0.1,4,0.22619880363345146,69.96461629867554,0.5576288662113527
0.0001,0.1,5,0.19680812396109104,1.5102171450853348,0.5088191208367953
0.0001,0.1,6,0.2005350925028324,1.0484308525919914,0.5184785159809381
0.0001,0.1,7,0.06769911525771022,0.657403752207756,0.30046702526400354
0.0001,0.1,-1,0.03555758576840162,0.3345857970416546,0.22035151064296438
0.0001,1.0,1,0.09316409658640623,0.7830973565578461,0.35248587438863865
0.0001,1.0,2,0.10353058390319347,0.1451183781027794,0.36707717117588173
0.0001,1.0,3,0.07327258866280317,0.03667797381058335,0.3042186483502746
0.0001,1.0,4,0.3421754017472267,12.916476726531982,0.6723087044448272
0.0001,1.0,5,0.33473772555589676,10.981520652770996,0.6664638568677833
0.0001,1.0,6,0.2905892878770828,7.789042592048645,0.6246017090190032
0.0001,1.0,7,0.2529511321336031,9.508533716201782,0.588130143394937
0.0001,1.0,-1,0.06332077970728278,0.07120170723646879,0.2875700870452532
0.0001,10.0,1,0.10421208199113607,0.4840564467012882,0.36799811683636185
0.0001,10.0,2,0.09755215141922235,0.030441791051998734,0.35408654669844686
0.0001,10.0,3,0.038488106802105904,0.009228647453710437,0.23109271478462565
0.0001,10.0,4,0.42345302179455757,6.098849236965179,0.7713783499825497
0.0001,10.0,5,0.5382208675146103,0.7631583660840988,0.8591658942132433
0.0001,10.0,6,0.5387272089719772,0.57645034044981,0.8561423445522176
0.0001,10.0,7,0.23470710590481758,6.360414505004883,0.5581380218636132
0.0001,10.0,-1,0.203996442258358,0.009405370219610631,0.5263253923470109
0.0001,0.0,,0.07437691977247596,,0.31368384079497225
