learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.12241868022829294,0.7875529155135155,0.4089946489273907
0.0001,0.001,2,0.12611800245940685,0.1339777261018753,0.41239579281037364
0.0001,0.001,3,0.12484798207879066,0.030637080781161785,0.40849083815402953
0.0001,0.001,4,0.061178578063845634,94.14761161804199,0.2885422267337972
0.0001,0.001,5,0.1327204704284668,82.99838161468506,0.41753457986048703
0.0001,0.001,6,0.1402081958949566,44.15581130981445,0.4289034880564453
0.0001,0.001,7,0.09057992976158857,11.821964025497437,0.34341487468935356
0.0001,0.001,-1,0.13894705846905708,1.1300260871648788,0.434192205359723
0.0001,0.01,1,0.13056914508342743,0.7877169623970985,0.4139182798528353
0.0001,0.01,2,0.13102780282497406,0.13390400633215904,0.4121593669276744
0.0001,0.01,3,0.12903936859220266,0.030236407881602645,0.4204609894322338
0.0001,0.01,4,0.07352880481630564,12.53509771823883,0.30626794529129203
0.0001,0.01,5,0.06139367539435625,11.466872334480286,0.28386212644075115
0.0001,0.01,6,0.10873236693441868,16.57896876335144,0.3764314144967172
0.0001,0.01,7,0.11547426134347916,9.566839456558228,0.39901127846733453
0.0001,0.01,-1,0.11544678546488285,0.9777608290314674,0.3959298516706378
0.0001,0.1,1,0.13212673738598824,0.7764051780104637,0.42183038726606203
0.0001,0.1,2,0.14113519620150328,0.1302987951785326,0.4377756642032004
0.0001,0.1,3,0.14371840003877878,0.030168580124154687,0.4375212325476344
0.0001,0.1,4,0.237382048740983,52.64655017852783,0.5606009052237382
0.0001,0.1,5,0.18649675138294697,1.7922891676425934,0.5032597141447894
0.0001,0.1,6,0.19268756732344627,1.277011662721634,0.504653625876515
0.0001,0.1,7,0.08947017323225737,0.7755521312355995,0.34829758013082807
0.0001,0.1,-1,0.048207932617515326,0.3160403035581112,0.26602751497921845
0.0001,1.0,1,0.12785019539296627,0.699401505291462,0.41488634453591394
0.0001,1.0,2,0.11945405043661594,0.10623040981590748,0.4015044001232309
0.0001,1.0,3,0.12832152098417282,0.026899689808487892,0.418462127548501
0.0001,1.0,4,0.29368192330002785,16.63693904876709,0.631834111462366
0.0001,1.0,5,0.2742816377431154,14.022429704666138,0.6066694914106376
0.0001,1.0,6,0.22862571850419044,14.670198321342468,0.5499919528658782
0.0001,1.0,7,0.22663231380283833,17.05085253715515,0.5467559450019461
0.0001,1.0,-1,0.07326970342546701,0.08913858328014612,0.3137119907995032
0.0001,10.0,1,0.09807647112756968,0.42943843826651573,0.3616515640806417
0.0001,10.0,2,0.10107009764760733,0.017300115898251534,0.3731373815317412
0.0001,10.0,3,0.08540698885917664,0.010011848295107484,0.33586264473075234
0.0001,10.0,4,0.33666402846574783,9.867774248123169,0.6832426240103074
0.0001,10.0,5,0.6044687479734421,0.7683804556727409,0.8853350013143905
0.0001,10.0,6,0.618115745484829,0.32659419253468513,0.9140730347271845
0.0001,10.0,7,0.46251774206757545,0.19992746226489544,0.7845502907984065
0.0001,10.0,-1,0.2711624763906002,0.3618304021656513,0.6040846750550076
0.0001,0.0,,0.14099802263081074,,0.4299083351015878
