learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.16336087509989738,0.8498430550098419,0.4750302117171682
0.0001,0.001,2,0.16189461946487427,0.17600063793361187,0.4634489525098957
0.0001,0.001,3,0.15635675750672817,0.036891055293381214,0.44923188311236284
0.0001,0.001,4,0.09018136840313673,112.32984066009521,0.34877258482376267
0.0001,0.001,5,0.1617949679493904,71.39550399780273,0.4697648177412591
0.0001,0.001,6,0.13402386754751205,28.99246072769165,0.42435837041697666
0.0001,0.001,7,0.11809330433607101,10.8822101354599,0.40011962322919437
0.0001,0.001,-1,0.1007602559402585,0.7320115491747856,0.368863848428893
0.0001,0.01,1,0.14715465903282166,0.848729208111763,0.44112931393288624
0.0001,0.01,2,0.1531198639422655,0.17494429461658,0.44520775342586827
0.0001,0.01,3,0.17620050720870495,0.03659675410017371,0.490206634817638
0.0001,0.01,4,0.05192720843479037,12.776942729949951,0.2584932371918527
0.0001,0.01,5,0.12692137528210878,13.123131036758423,0.410626524843859
0.0001,0.01,6,0.14663365669548512,9.772457122802734,0.4418812525366716
0.0001,0.01,7,0.09176771622151136,6.818896532058716,0.35165137795645285
0.0001,0.01,-1,0.10407909378409386,0.6226233094930649,0.38140011779349825
0.0001,0.1,1,0.16779477521777153,0.8370097428560257,0.4796826599830607
0.0001,0.1,2,0.17465019784867764,0.16913404501974583,0.4792844829572206
0.0001,0.1,3,0.1807242352515459,0.03592695901170373,0.49162681466597036
0.0001,0.1,4,0.21940991282463074,63.65946960449219,0.5535946793681792
0.0001,0.1,5,0.18393283523619175,1.7669978588819504,0.5070359489174084
0.0001,0.1,6,0.13746489118784666,1.227144256234169,0.42710142849397875
0.0001,0.1,7,0.06879533268511295,0.7134803161025047,0.3036835169716871
0.0001,0.1,-1,0.04040439939126372,0.23601660877466202,0.22996835009883174
0.0001,1.0,1,0.1763040665537119,0.7516937702894211,0.48709890860523003
0.0001,1.0,2,0.15882014110684395,0.13201003707945347,0.4535481753278704
0.0001,1.0,3,0.1596591491252184,0.029119891580194235,0.45690748787381447
0.0001,1.0,4,0.34170209616422653,17.156926155090332,0.6811146055205022
0.0001,1.0,5,0.3713068813085556,5.886568367481232,0.7145278731477871
0.0001,1.0,6,0.3186120092868805,4.452150344848633,0.6389923109483622
0.0001,1.0,7,0.23096001148223877,8.7016521692276,0.5568012863076259
0.0001,1.0,-1,0.07527512591332197,0.053786207921803,0.3106992475864425
0.0001,10.0,1,0.15448668040335178,0.4727765619754791,0.4573528754671126
0.0001,10.0,2,0.12995919305831194,0.023892373079434037,0.41479997839727034
0.0001,10.0,3,0.0956140449270606,0.01028751628473401,0.3554066032395493
0.0001,10.0,4,0.5083048418164253,4.047619819641113,0.8316769923428088
0.0001,10.0,5,0.5273972935974598,1.0162791386246681,0.8403696232276074
0.0001,10.0,6,0.5104275569319725,0.7087559178471565,0.8231280650925592
0.0001,10.0,7,0.43712930381298065,0.29876919090747833,0.7465111578505357
0.0001,10.0,-1,0.22497067786753178,0.007339561358094215,0.5535446102754185
0.0001,0.0,,0.16912971436977386,,0.49002704365461164
