learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.1339221866801381,0.9276022985577583,0.42175397791905533
0.0001,0.001,2,0.13120149821043015,0.15774708427488804,0.41806484504470215
0.0001,0.001,3,0.1234393697232008,0.03745089191943407,0.4071353282405568
0.0001,0.001,4,0.03261305089108646,107.81757164001465,0.208648604829282
0.0001,0.001,5,0.13458608277142048,57.296428203582764,0.42006282877480505
0.0001,0.001,6,0.04180609993636608,28.671684741973877,0.2310072534813115
0.0001,0.001,7,0.04003854654729366,11.880276441574097,0.23063335869603746
0.0001,0.001,-1,0.08360463473945856,1.5656092315912247,0.33801912734534545
0.0001,0.01,1,0.09868701081722975,0.9286976009607315,0.3674495451575217
0.0001,0.01,2,0.11333223711699247,0.15746783837676048,0.39528225103414
0.0001,0.01,3,0.11559568252414465,0.03783747088164091,0.3912013395974587
0.0001,0.01,4,0.035885805264115334,13.783455491065979,0.2154371092533537
0.0001,0.01,5,0.14229142852127552,12.283142685890198,0.44608776984495885
0.0001,0.01,6,0.050696445629000664,5.1406620144844055,0.2583164807740305
0.0001,0.01,7,0.07649688608944416,5.800775170326233,0.33114878146365323
0.0001,0.01,-1,0.08808133471757174,1.2754765748977661,0.3459006773415948
0.0001,0.1,1,0.1294442554935813,0.9176948815584183,0.4212508561693999
0.0001,0.1,2,0.12475425936281681,0.15479661524295807,0.40352334767416165
0.0001,0.1,3,0.12289873696863651,0.0372023181989789,0.4047066569786884
0.0001,0.1,4,0.2368127591907978,60.076380252838135,0.5648382968504895
0.0001,0.1,5,0.23340422101318836,39.36535310745239,0.5616976967884546
0.0001,0.1,6,0.16703644767403603,1.3377320170402527,0.4835726132107538
0.0001,0.1,7,0.06306699756532907,0.7848922610282898,0.2892860125010215
0.0001,0.1,-1,0.03741589980199933,0.31523778662085533,0.2282452348580924
0.0001,1.0,1,0.1473479736596346,0.8449236303567886,0.43556326368874115
0.0001,1.0,2,0.117677116766572,0.12504358682781458,0.40077824584351424
0.0001,1.0,3,0.13993975147604942,0.03264976432546973,0.43011474652738935
0.0001,1.0,4,0.3040856197476387,17.131059169769287,0.6446178263610625
0.0001,1.0,5,0.3844726085662842,3.8321850299835205,0.7182091767844532
0.0001,1.0,6,0.35470542684197426,3.717861443758011,0.697974393142792
0.0001,1.0,7,0.23775510676205158,8.63806939125061,0.5602638997858552
0.0001,1.0,-1,0.05346498778089881,0.05873406212776899,0.2716484601073425
0.0001,10.0,1,0.12209643796086311,0.5266188383102417,0.3990412368790979
0.0001,10.0,2,0.04533959086984396,0.031113787088543177,0.24826286811859324
0.0001,10.0,3,0.03388311271555722,0.011091127875261009,0.21033522717802225
0.0001,10.0,4,0.4896693527698517,4.074814975261688,0.8166248720875412
0.0001,10.0,5,0.40540359169244766,3.9650692343711853,0.7208098621852149
0.0001,10.0,6,0.5285223908722401,0.3412935882806778,0.8533490902676222
0.0001,10.0,7,0.28334687277674675,4.240353763103485,0.6162482987058816
0.0001,10.0,-1,0.21092850156128407,0.008663237618748099,0.5184322940967685
0.0001,0.0,,0.05515701975673437,,0.27553829935532204
