learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.1307584997266531,0.7343808263540268,0.41611877903166494
0.0001,0.001,2,0.07391145452857018,0.13716728053987026,0.3098053273108193
0.0001,0.001,3,0.12053116969764233,0.027661489555612206,0.3952845560671318
0.0001,0.001,4,0.11676338315010071,136.5173101425171,0.3924517715350452
0.0001,0.001,5,0.1251916717737913,72.67226982116699,0.4074541356267657
0.0001,0.001,6,0.05407821200788021,26.970407724380493,0.26746047783126764
0.0001,0.001,7,0.04006290016695857,8.713024497032166,0.23563587374678024
0.0001,0.001,-1,0.11173162795603275,1.1296132504940033,0.3900187450296978
0.0001,0.01,1,0.08690701425075531,0.7296114787459373,0.3494268382297582
0.0001,0.01,2,0.1258397363126278,0.13702077604830265,0.39938605208637784
0.0001,0.01,3,0.1218901202082634,0.027807341190055013,0.4153712653844511
0.0001,0.01,4,0.03932993719354272,9.74484646320343,0.23127672512265027
0.0001,0.01,5,0.08254906442016363,10.94492256641388,0.325820314879205
0.0001,0.01,6,0.07938790647312999,12.91911268234253,0.3211939084189458
0.0001,0.01,7,0.043282621540129185,5.405038416385651,0.24151899607788366
0.0001,0.01,-1,0.06317562889307737,0.8518659472465515,0.2878168191232487
0.0001,0.1,1,0.12841528560966253,0.7267332822084427,0.40444158443343164
0.0001,0.1,2,0.08915573358535767,0.1341855600476265,0.34321285977175175
0.0001,0.1,3,0.12732726521790028,0.02731980592943728,0.4174800493516578
0.0001,0.1,4,0.055765931494534016,1.8045357167720795,0.2768882932614745
0.0001,0.1,5,0.21674341335892677,1.7925410270690918,0.5257983704005385
0.0001,0.1,6,0.15189494378864765,1.6750609129667282,0.4593117931990927
0.0001,0.1,7,0.09909894037991762,1.4079645425081253,0.36580897548538877
0.0001,0.1,-1,0.03695091535337269,0.3333192281424999,0.22181505239191063
0.0001,1.0,1,0.09572351817041636,0.6551605984568596,0.3550626760154682
0.0001,1.0,2,0.1245707543566823,0.11180622223764658,0.4169069375191261
0.0001,1.0,3,0.11580187734216452,0.024532037787139416,0.4040270287219835
0.0001,1.0,4,0.33926257491111755,16.229560136795044,0.6778660877762546
0.0001,1.0,5,0.2591487541794777,35.41145992279053,0.591025960473066
0.0001,1.0,6,0.27458412759006023,6.420410752296448,0.6101186971072462
0.0001,1.0,7,0.23993976414203644,3.7574075162410736,0.5740725831908065
0.0001,1.0,-1,0.06440485408529639,0.0821014754474163,0.29135115303108905
0.0001,10.0,1,0.09871378820389509,0.41922494024038315,0.3660871046138244
0.0001,10.0,2,0.09331587236374617,0.02811749093234539,0.3518831893437736
0.0001,10.0,3,0.11741780210286379,0.011944795376621187,0.3951250729596867
0.0001,10.0,4,0.5284712985157967,3.5477519929409027,0.8231438293175554
0.0001,10.0,5,0.5459383055567741,0.8209067434072495,0.8703042972405812
0.0001,10.0,6,0.5251917615532875,0.5122341401875019,0.8362976627032103
0.0001,10.0,7,0.23994916677474976,6.477348208427429,0.5568510079224174
0.0001,10.0,-1,0.24842552281916142,0.27596272341907024,0.5824279870747886
0.0001,0.0,,0.13147752173244953,,0.4242814349471568
