learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.07538970187306404,0.9501532167196274,0.3209392084188708
0.0001,0.001,2,0.08685591537505388,0.1675443798303604,0.34256080600102073
0.0001,0.001,3,0.08548127580434084,0.029027657583355904,0.33706256159295156
0.0001,0.001,4,0.075920095667243,104.58522033691406,0.3114313833651314
0.0001,0.001,5,0.09731487650424242,63.18449783325195,0.36709771047526624
0.0001,0.001,6,0.041476409416645765,18.433606266975403,0.23676496141590772
0.0001,0.001,7,0.03543553105555475,6.008602142333984,0.21918618591430553
0.0001,0.001,-1,0.034849581541493535,0.6313602477312088,0.21842509227673843
0.0001,0.01,1,0.07536328863352537,0.9474275410175323,0.3158354286641316
0.0001,0.01,2,0.0762153947725892,0.16644133441150188,0.32306840447314683
0.0001,0.01,3,0.08092290908098221,0.029315186198800802,0.3305450729744173
0.0001,0.01,4,0.03496408509090543,9.192675590515137,0.21592996047188134
0.0001,0.01,5,0.08022661693394184,11.465487599372864,0.32884089958937235
0.0001,0.01,6,0.04188019782304764,6.386295974254608,0.23292772379295448
0.0001,0.01,7,0.03483102470636368,2.7653203904628754,0.2177837859465426
0.0001,0.01,-1,0.03274799743667245,0.4536347836256027,0.206654663789499
0.0001,0.1,1,0.08297999761998653,0.9418290108442307,0.324902253000763
0.0001,0.1,2,0.07822955679148436,0.1638673786073923,0.3249551298426565
0.0001,0.1,3,0.06147883227095008,0.02945982408709824,0.29146418504730437
0.0001,0.1,4,0.230234669521451,147.80299186706543,0.5612397680487868
0.0001,0.1,5,0.21892909705638885,27.47649383544922,0.5521684118387784
0.0001,0.1,6,0.1296614808961749,1.12013740837574,0.4155373961285157
0.0001,0.1,7,0.07115997700020671,0.8614875972270966,0.32137517073034044
0.0001,0.1,-1,0.030269868206232786,0.17837047018110752,0.19816004714790197
0.0001,1.0,1,0.08793972618877888,0.8417768329381943,0.34458137035249675
0.0001,1.0,2,0.08252331335097551,0.13300285581499338,0.3367742559149317
0.0001,1.0,3,0.08938470855355263,0.025778684532269835,0.3479640727551599
0.0001,1.0,4,0.3156750313937664,16.06333041191101,0.6584098989405571
0.0001,1.0,5,0.3203429840505123,12.220319867134094,0.6576445132909601
0.0001,1.0,6,0.2283359356224537,11.621433019638062,0.5491278972846094
0.0001,1.0,7,0.22202906757593155,3.9059700667858124,0.5301525474103718
0.0001,1.0,-1,0.06853075511753559,0.0681612784974277,0.2953337011183889
0.0001,10.0,1,0.06829542713239789,0.5226823352277279,0.3000326358665773
0.0001,10.0,2,0.061267273966223,0.02703923173248768,0.291582548572502
0.0001,10.0,3,0.0874815434217453,0.009957848582416773,0.3431805898790523
0.0001,10.0,4,0.4541831351816654,4.618528425693512,0.7841389563777525
0.0001,10.0,5,0.560001403093338,1.003057673573494,0.8700695799434007
0.0001,10.0,6,0.5118105001747608,0.39897266402840614,0.840122661718829
0.0001,10.0,7,0.32396188378334045,0.9300677552819252,0.6607515542715625
0.0001,10.0,-1,0.26356618478894234,0.010361204738728702,0.5887806170162778
0.0001,0.0,,0.08087578602135181,,0.3348707124796246
