learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.07632231339812279,0.7908547818660736,0.32314146371277896
0.0001,0.001,2,0.081280586309731,0.12623346783220768,0.3260411787652525
0.0001,0.001,3,0.10816704016178846,0.021479119081050158,0.3837011280047178
0.0001,0.001,4,0.047345120925456285,87.5321569442749,0.25053081123689186
0.0001,0.001,5,0.09299513511359692,55.43555164337158,0.34204162471855987
0.0001,0.001,6,0.03294448112137616,17.458019018173218,0.20700042342938757
0.0001,0.001,7,0.030888346722349524,6.5938305258750916,0.20875462456000204
0.0001,0.001,-1,0.03260079515166581,1.2031184136867523,0.2115862392789815
0.0001,0.01,1,0.09071264788508415,0.786922037601471,0.35634072894844027
0.0001,0.01,2,0.09493714664131403,0.12512757070362568,0.36273607489084186
0.0001,0.01,3,0.1117866737768054,0.02128400024957955,0.3865603842695721
0.0001,0.01,4,0.032382135512307286,8.78716266155243,0.21296991123044184
0.0001,0.01,5,0.061403120402246714,11.69226610660553,0.29216067232285026
0.0001,0.01,6,0.05849782284349203,9.10289579629898,0.27839096543798547
0.0001,0.01,7,0.03798389760777354,4.644300758838654,0.23009914378802468
0.0001,0.01,-1,0.033486565575003624,0.5292490385472775,0.21616879483920615
0.0001,0.1,1,0.09184022434055805,0.7834037840366364,0.34700860137307826
0.0001,0.1,2,0.08156037144362926,0.1235786359757185,0.3290028886772627
0.0001,0.1,3,0.07601358462125063,0.021366258850321174,0.31121212789302205
0.0001,0.1,4,0.046564252115786076,1.482149213552475,0.25229655675959756
0.0001,0.1,5,0.13104824628680944,1.7260595858097076,0.41303086689742036
0.0001,0.1,6,0.08263326343148947,1.171424113214016,0.3299609569469688
0.0001,0.1,7,0.06908083986490965,0.6808154210448265,0.30058159672862894
0.0001,0.1,-1,0.03634822694584727,0.2761234939098358,0.22140641232945746
0.0001,1.0,1,0.08026241231709719,0.7139331996440887,0.3318008478234189
0.0001,1.0,2,0.08372574765235186,0.10067230183631182,0.3324416401078521
0.0001,1.0,3,0.09183257259428501,0.018969721626490355,0.35846740461118115
0.0001,1.0,4,0.30398206785321236,13.717399716377258,0.6501314799155027
0.0001,1.0,5,0.3469361998140812,12.03810441493988,0.6800786166959073
0.0001,1.0,6,0.24796545319259167,9.97684109210968,0.5809763974815655
0.0001,1.0,7,0.2335463911294937,0.12837771978229284,0.5721716980443354
0.0001,1.0,-1,0.0614443221129477,0.06457740301266313,0.28277938846508216
0.0001,10.0,1,0.07156412955373526,0.4402645640075207,0.3089535058115882
0.0001,10.0,2,0.05004186788573861,0.019596548983827233,0.2566604059664909
0.0001,10.0,3,0.0721863005310297,0.008451987872831523,0.3145571920463965
0.0001,10.0,4,0.521763663738966,4.544085502624512,0.8279035045702179
0.0001,10.0,5,0.5447455644607544,0.7458087056875229,0.8711418319426076
0.0001,10.0,6,0.2601458467543125,5.680749535560608,0.6026411496807456
0.0001,10.0,7,0.4269968345761299,0.17700620740652084,0.774647632406299
0.0001,10.0,-1,0.1306152008473873,0.008267669822089374,0.42652414661685745
0.0001,0.0,,0.06981492694467306,,0.29841666324544003
