learning_rate,lambda_sym_max,symmetry_layer,test_task_loss,test_sym_loss,test_rel_rmse
0.0001,0.001,1,0.04594618873670697,0.8208056688308716,0.24610125239655767
0.0001,0.001,2,0.04678683169186115,0.13462807517498732,0.2576173064998217
0.0001,0.001,3,0.10598880983889103,0.028764120070263743,0.3755855142255172
0.0001,0.001,4,0.03605474857613444,120.37036037445068,0.22271587218645295
0.0001,0.001,5,0.08244311902672052,58.659138679504395,0.3303651454790232
0.0001,0.001,6,0.040039301849901676,17.48776936531067,0.23318597499755905
0.0001,0.001,7,0.031185042345896363,7.939737260341644,0.20395811010097975
0.0001,0.001,-1,0.032039708690717816,1.2741521745920181,0.20354690822294275
0.0001,0.01,1,0.10968884825706482,0.8179728016257286,0.37546967299141254
0.0001,0.01,2,0.10799574665725231,0.13460733462125063,0.3847437553706332
0.0001,0.01,3,0.07867877744138241,0.02903081593103707,0.3317137513253357
0.0001,0.01,4,0.03529108292423189,8.45842981338501,0.21200175489670114
0.0001,0.01,5,0.047617933712899685,12.17813515663147,0.24679849919262214
0.0001,0.01,6,0.03770475788041949,5.653790235519409,0.2326905700393477
0.0001,0.01,7,0.03675855463370681,4.224620759487152,0.2247115875313774
0.0001,0.01,-1,0.03462761943228543,0.568625383079052,0.217663436527118
0.0001,0.1,1,0.10028302390128374,0.8106410205364227,0.36857902091944006
0.0001,0.1,2,0.1141993347555399,0.1321817897260189,0.3875372467876517
0.0001,0.1,3,0.11123997531831264,0.02860406576655805,0.39010576203679787
0.0001,0.1,4,0.06421301374211907,1.8987850844860077,0.28619730898506124
0.0001,0.1,5,0.19916951656341553,1.6560937017202377,0.517740372614472
0.0001,0.1,6,0.07856000494211912,1.0847061648964882,0.325232549747495
0.0001,0.1,7,0.045019217766821384,0.6163222528994083,0.24063164111700489
0.0001,0.1,-1,0.03611988527700305,0.2166676539927721,0.22465131034580707
0.0001,1.0,1,0.044059266336262226,0.7303329184651375,0.24474535660466898
0.0001,1.0,2,0.1095248507335782,0.10848599951714277,0.37820160956148957
0.0001,1.0,3,0.10419236216694117,0.025339001091197133,0.37253125828243316
0.0001,1.0,4,0.2839217819273472,17.721287965774536,0.6115332043239339
0.0001,1.0,5,0.34295883774757385,6.46289998292923,0.670081852419806
0.0001,1.0,6,0.323063250631094,3.1983072757720947,0.6649484334835974
0.0001,1.0,7,0.17155415378510952,0.12763134203851223,0.47629831641560705
0.0001,1.0,-1,0.04117703204974532,0.04636193299666047,0.23343738086317506
0.0001,10.0,1,0.04387276899069548,0.46072687581181526,0.24196522888664057
0.0001,10.0,2,0.037872607819736004,0.023738845251500607,0.22401421042485611
0.0001,10.0,3,0.04076672624796629,0.010640915716066957,0.2328073802529223
0.0001,10.0,4,0.297458715736866,12.568806529045105,0.6310567978685829
0.0001,10.0,5,0.514171227812767,1.116512581706047,0.8198192096745082
0.0001,10.0,6,0.49446847289800644,0.4919696971774101,0.8224117746337212
0.0001,10.0,7,0.22841878049075603,4.083349943161011,0.5501300005504753
0.0001,10.0,-1,0.13722399715334177,0.00735305855050683,0.4393612918281171
0.0001,0.0,,0.10428628697991371,,0.3768790748710837
